State,Total Beds,Participation,Year,Population,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
AK,1877,0.835,2012,730399.0,1913,1716,197,1298,1157,141,615,559,56,216,194,22,279,263,16,273,257,16,6,6,0,256,227,29
AL,4297,0.482,2012,4815564.0,5209,3664,1545,3825,2573,1252,1384,1091,293,497,383,114,969,353,616,910,331,579,59,22,37,526,377,149
AR,2662,0.6459999999999999,2012,2952109.0,4214,1602,2612,3428,1191,2237,786,411,375,266,134,132,437,171,266,361,142,219,76,29,47,362,205,157
AZ,9238,0.862,2012,6556629.0,11302,8215,3087,6310,3786,2524,4992,4429,563,1465,1327,138,1895,615,1280,1605,389,1216,290,226,64,1478,1007,471
CA,47144,0.757,2012,37960782.0,120098,45890,74208,94888,26494,68394,25210,19396,5814,8076,6190,1886,33356,5458,27898,30189,4912,25277,3167,546,2621,14611,4512,10099
CO,6536,0.913,2012,5193721.0,16768,7260,9508,5101,2847,2254,11667,4413,7254,3104,1282,1822,1943,784,1159,1612,493,1119,331,291,40,1512,800,712
CT,3539,0.928,2012,3594395.0,4209,3514,695,2906,2252,654,1303,1262,41,449,432,17,944,614,330,924,594,330,20,20,0,332,285,47
DC,6243,0.862,2012,634725.0,6954,6275,679,3767,3088,679,3187,3187,0,1014,1014,0,2315,1773,542,1870,1328,542,445,445,0,531,466,65
DE,1239,0.517,2012,915188.0,1008,986,22,611,589,22,397,397,0,128,128,0,100,89,11,84,73,11,16,16,0,66,64,2
FL,23272,0.7809999999999999,2012,19326230.0,55170,19832,35338,36771,12801,23970,18399,7031,11368,6333,2338,3995,10054,2406,7648,8682,2132,6550,1372,274,1098,5331,2201,3130
GA,9534,0.777,2012,9901496.0,20516,8320,12196,15363,4816,10547,5153,3504,1649,1779,1255,524,3843,1426,2417,3016,1030,1986,827,396,431,2297,1094,1203
HI,4230,0.994,2012,1394905.0,6246,3726,2520,3130,1075,2055,3116,2651,465,792,681,111,949,146,803,910,128,782,39,18,21,507,230,277
IA,3627,0.851,2012,3076097.0,2928,2780,148,1446,1302,144,1482,1478,4,466,465,1,307,218,89,270,181,89,37,37,0,217,205,12
ID,1795,0.634,2012,1595441.0,1968,1482,486,1175,787,388,793,695,98,246,216,30,252,111,141,200,90,110,52,21,31,260,184,76
IL,13246,0.764,2012,12884119.0,14144,11149,2995,8269,5808,2461,5875,5341,534,1905,1736,169,2206,1144,1062,2079,1086,993,127,58,69,1147,813,334
IN,7389,0.5770000000000001,2012,6537640.0,6259,5370,889,3316,2661,655,2943,2709,234,955,864,91,545,369,176,461,285,176,84,84,0,687,547,140
KS,3085,0.49,2012,2885361.0,2684,2350,334,1526,1265,261,1158,1085,73,346,325,21,371,275,96,307,218,89,64,57,7,373,329,44
KY,4547,0.779,2012,4386381.0,5230,4319,911,3282,2555,727,1948,1764,184,667,613,54,629,423,206,497,347,150,132,76,56,440,369,71
LA,5041,0.7609999999999999,2012,4600814.0,7772,3807,3965,6322,2438,3884,1450,1369,81,474,443,31,2893,352,2541,2743,280,2463,150,72,78,899,450,449
MA,14782,0.894,2012,6663158.0,17501,16779,722,6289,5577,712,11212,11202,10,3887,3883,4,2055,1723,332,1500,1168,332,555,555,0,1181,1126,55
MD,5769,0.8290000000000001,2012,5887072.0,9454,5942,3512,5727,3445,2282,3727,2497,1230,1300,812,488,1407,559,848,1259,489,770,148,70,78,617,513,104
ME,2675,0.946,2012,1327691.0,2393,2360,33,1287,1254,33,1106,1106,0,376,376,0,233,231,2,222,220,2,11,11,0,116,116,0
MI,11827,0.897,2012,9896930.0,12592,10270,2322,7397,5487,1910,5195,4783,412,1703,1565,138,1370,843,527,1174,690,484,196,153,43,1017,835,182
MN,6879,0.743,2012,5376550.0,7744,6754,990,3540,2793,747,4204,3961,243,1311,1240,71,1718,1346,372,1004,700,304,714,646,68,309,243,66
MO,8253,0.645,2012,6024081.0,10237,7893,2344,4855,3531,1324,5382,4362,1020,1745,1461,284,1632,1028,604,906,609,297,726,419,307,899,714,185
MS,1542,0.721,2012,2983767.0,2413,1042,1371,1794,626,1168,619,416,203,221,158,63,501,67,434,450,55,395,51,12,39,244,71,173
MT,1411,0.348,2012,1003754.0,1833,1153,680,1166,653,513,667,500,167,192,169,23,388,213,175,304,161,143,84,52,32,323,147,176
NC,10071,0.7929999999999999,2012,9749123.0,13524,8809,4715,8480,5461,3019,5044,3348,1696,1633,1084,549,1621,702,919,1465,641,824,156,61,95,1413,1091,322
ND,724,0.971,2012,701116.0,688,635,53,485,445,40,203,190,13,70,64,6,86,78,8,81,75,6,5,3,2,160,144,16
NE,3667,0.882,2012,1853323.0,3789,2957,832,2215,1861,354,1574,1096,478,514,363,151,501,333,168,396,288,108,105,45,60,249,213,36
NH,1353,0.902,2012,1323962.0,1496,1329,167,832,683,149,664,646,18,240,233,7,274,180,94,237,151,86,37,29,8,127,116,11
NJ,7882,0.935,2012,8845483.0,13025,11429,1596,6603,5387,1216,6422,6042,380,2247,2123,124,1026,717,309,881,609,272,145,108,37,592,465,127
NM,2545,0.448,2012,2087549.0,3245,2397,848,2136,1471,665,1109,926,183,348,289,59,1072,613,459,973,566,407,99,47,52,345,202,143
NV,4630,0.655,2012,2744566.0,8497,3970,4527,7493,2999,4494,1004,971,33,341,328,13,1725,599,1126,1603,480,1123,122,119,3,1229,691,538
NY,69190,0.903,2012,19574549.0,69566,65482,4084,30133,26097,4036,39433,39385,48,12170,12154,16,4897,2461,2436,4324,1902,2422,573,559,14,4961,4370,591
OH,12499,0.857,2012,11548369.0,13977,12246,1731,7855,6432,1423,6122,5814,308,1943,1844,99,1982,1367,615,1788,1196,592,194,171,23,1244,1034,210
OK,4013,0.688,2012,3818600.0,5032,3043,1989,3454,2073,1381,1578,970,608,519,335,184,569,287,282,481,237,244,88,50,38,404,299,105
OR,7249,0.58,2012,3899118.0,15828,6545,9283,9788,3492,6296,6040,3053,2987,2110,1146,964,3302,754,2548,2782,654,2128,520,100,420,1356,558,798
PA,16050,0.847,2012,12766827.0,14736,13660,1076,7295,6316,979,7441,7344,97,2476,2441,35,2106,1121,985,1564,971,593,542,150,392,1456,1321,135
RI,1162,0.923,2012,1054601.0,1277,1249,28,788,760,28,489,489,0,182,182,0,154,154,0,148,148,0,6,6,0,96,96,0
SC,4825,0.67,2012,4717112.0,4915,2776,2139,3327,1789,1538,1588,987,601,551,371,180,528,114,414,388,113,275,140,1,139,543,320,223
SD,1444,0.42,2012,833496.0,859,795,64,512,465,47,347,330,17,119,115,4,138,125,13,113,100,13,25,25,0,124,114,10
TN,6492,0.608,2012,6451281.0,9426,5778,3648,6905,4167,2738,2521,1611,910,833,533,300,2266,1126,1140,2114,1053,1061,152,73,79,1285,973,312
TX,22880,0.693,2012,26089620.0,34052,17501,16551,20743,9030,11713,13309,8471,4838,4511,2890,1621,6650,2180,4470,6115,1860,4255,535,320,215,4364,1884,2480
UT,3020,0.8540000000000001,2012,2853467.0,3527,3052,475,2049,1641,408,1478,1411,67,445,426,19,443,299,144,331,240,91,112,59,53,330,297,33
VA,7514,0.75,2012,8185229.0,8424,6995,1429,5084,3799,1285,3340,3196,144,1094,1046,48,1646,1042,604,1531,969,562,115,73,42,881,727,154
VT,981,0.5870000000000001,2012,626063.0,1160,937,223,653,483,170,507,454,53,172,153,19,228,153,75,190,128,62,38,25,13,109,93,16
WA,16966,0.8190000000000001,2012,6892876.0,20504,15027,5477,11273,6444,4829,9231,8583,648,2871,2676,195,2213,1227,986,2041,1138,903,172,89,83,1475,1097,378
WI,6384,0.901,2012,5719855.0,6027,5446,581,3033,2619,414,2994,2827,167,961,902,59,487,361,126,377,270,107,110,91,19,539,525,14
WV,1874,0.688,2012,1856764.0,2410,1533,877,1742,1033,709,668,500,168,243,165,78,410,215,195,346,172,174,64,43,21,268,219,49
WY,817,0.7709999999999999,2012,576270.0,1813,475,1338,1302,292,1010,511,183,328,171,57,114,452,99,353,375,97,278,77,2,75,311,128,183
AK,1895,0.802,2013,737045.0,1946,1741,205,1362,1208,154,584,533,51,196,182,14,184,138,46,166,124,42,18,14,4,210,188,22
AL,4077,0.556,2013,4830460.0,4689,3246,1443,3387,2212,1175,1302,1034,268,495,375,120,858,295,563,768,249,519,90,46,44,511,363,148
AR,2561,0.589,2013,2959549.0,3812,1664,2148,3174,1177,1997,638,487,151,218,162,56,602,171,431,565,142,423,37,29,8,462,326,136
AZ,8982,0.885,2013,6634999.0,10562,7431,3131,6510,3662,2848,4052,3769,283,1291,1210,81,1188,520,668,1064,450,614,124,70,54,1222,901,321
CA,45411,0.78,2013,38280824.0,118552,45554,72998,93458,26426,67032,25094,19128,5966,8267,6258,2009,33112,5251,27861,29248,4177,25071,3864,1074,2790,12895,4886,8009
CO,7744,0.857,2013,5270482.0,9754,7591,2163,4664,3075,1589,5090,4516,574,1444,1284,160,1780,846,934,1354,665,689,426,181,245,685,452,233
CT,3634,0.924,2013,3594915.0,4448,3529,919,3101,2275,826,1347,1254,93,475,438,37,1046,678,368,872,542,330,174,136,38,341,267,74
DC,7854,0.926,2013,650431.0,6865,6353,512,3696,3184,512,3169,3169,0,983,983,0,2027,1566,461,1764,1303,461,263,263,0,499,435,64
DE,1263,0.598,2013,923638.0,946,936,10,575,565,10,371,371,0,119,119,0,71,68,3,65,62,3,6,6,0,89,86,3
FL,24292,0.746,2013,19563166.0,47862,19670,28192,31359,12330,19029,16503,7340,9163,5806,2420,3386,9647,1873,7774,7778,1608,6170,1869,265,1604,5505,2328,3177
GA,9371,0.8079999999999999,2013,9973326.0,16971,8510,8461,12880,5250,7630,4091,3260,831,1257,990,267,3082,936,2146,2713,842,1871,369,94,275,1805,900,905
HI,4112,0.987,2013,1408453.0,6335,3745,2590,3355,1142,2213,2980,2603,377,736,643,93,1180,273,907,1031,212,819,149,61,88,558,234,324
IA,3828,0.799,2013,3093078.0,3084,2950,134,1524,1392,132,1560,1558,2,495,494,1,327,258,69,277,208,69,50,50,0,229,220,9
ID,1996,0.6729999999999999,2013,1611530.0,1781,1404,377,1084,775,309,697,629,68,211,192,19,271,165,106,193,105,88,78,60,18,208,162,46
IL,12787,0.805,2013,12898269.0,13425,11229,2196,7958,6104,1854,5467,5125,342,1730,1629,101,1574,980,594,1403,890,513,171,90,81,1267,882,385
IN,7758,0.609,2013,6568367.0,6096,5396,700,3751,3167,584,2345,2229,116,739,705,34,580,409,171,511,343,168,69,66,3,743,666,77
KS,3120,0.635,2013,2893510.0,2693,2382,311,1480,1238,242,1213,1144,69,387,365,22,356,249,107,304,204,100,52,45,7,414,384,30
KY,4970,0.738,2013,4404817.0,5245,4491,754,3302,2733,569,1943,1758,185,672,614,58,541,268,273,394,219,175,147,49,98,607,510,97
LA,4662,0.78,2013,4624577.0,5226,3651,1575,3908,2401,1507,1318,1250,68,415,393,22,1115,245,870,1015,227,788,100,18,82,575,383,192
MA,18047,0.897,2013,6713944.0,19029,18179,850,6694,5883,811,12335,12296,39,4327,4314,13,2115,1715,400,1577,1180,397,538,535,3,1253,1204,49
MD,6080,0.816,2013,5923704.0,8205,6283,1922,5221,3717,1504,2984,2566,418,997,872,125,1480,862,618,1249,725,524,231,137,94,673,563,110
ME,3243,0.936,2013,1328196.0,3016,2954,62,1563,1518,45,1453,1436,17,494,487,7,176,176,0,159,159,0,17,17,0,164,150,14
MI,11385,0.888,2013,9913349.0,11527,9339,2188,7236,5519,1717,4291,3820,471,1412,1241,171,1106,666,440,969,578,391,137,88,49,1100,945,155
MN,7126,0.7659999999999999,2013,5413693.0,8214,7299,915,3728,3023,705,4486,4276,210,1338,1273,65,1350,1001,349,915,622,293,435,379,56,349,286,63
MO,7761,0.701,2013,6040658.0,8581,6501,2080,4652,3365,1287,3929,3136,793,1259,1014,245,1037,601,436,695,394,301,342,207,135,843,667,176
MS,1823,0.727,2013,2988797.0,2403,1083,1320,1753,648,1105,650,435,215,192,134,58,475,68,407,408,61,347,67,7,60,210,129,81
MT,1493,0.394,2013,1013564.0,1878,1094,784,1211,574,637,667,520,147,207,165,42,227,65,162,210,55,155,17,10,7,309,118,191
NC,10834,0.789,2013,9843599.0,12168,9013,3155,7530,5383,2147,4638,3630,1008,1520,1169,351,1842,802,1040,1451,675,776,391,127,264,1123,934,189
ND,729,0.903,2013,721999.0,2069,674,1395,1230,443,787,839,231,608,244,83,161,179,68,111,110,68,42,69,0,69,241,60,181
NE,3728,0.8759999999999999,2013,1865414.0,3145,2972,173,1892,1733,159,1253,1239,14,397,393,4,414,342,72,339,273,66,75,69,6,183,161,22
NH,1410,0.915,2013,1326408.0,1447,1245,202,798,626,172,649,619,30,229,219,10,255,135,120,226,118,108,29,17,12,125,112,13
NJ,8285,0.942,2013,8858362.0,12002,10603,1399,6093,4916,1177,5909,5687,222,1994,1917,77,1237,847,390,1002,638,364,235,209,26,540,420,120
NM,2592,0.516,2013,2092792.0,2819,2391,428,1786,1411,375,1033,980,53,323,304,19,525,306,219,399,240,159,126,66,60,243,183,60
NV,3929,0.88,2013,2776972.0,7039,3698,3341,6200,2899,3301,839,799,40,316,304,12,724,377,347,718,375,343,6,2,4,790,477,313
NY,75992,0.889,2013,19628043.0,77430,73273,4157,31235,27214,4021,46195,46059,136,13675,13647,28,6317,3885,2432,4045,1673,2372,2272,2212,60,4659,4201,458
OH,13301,0.877,2013,11576576.0,12325,10987,1338,7611,6472,1139,4714,4515,199,1501,1448,53,1753,1207,546,1677,1135,542,76,72,4,1212,1050,162
OK,4211,0.7040000000000001,2013,3853205.0,4408,3262,1146,3179,2320,859,1229,942,287,426,313,113,719,330,389,617,260,357,102,70,32,437,338,99
OR,7922,0.644,2013,3922908.0,13822,6432,7390,8994,3602,5392,4828,2830,1998,1524,905,619,3043,723,2320,2444,588,1856,599,135,464,1494,709,785
PA,16370,0.8540000000000001,2013,12776621.0,15086,13727,1359,7973,6767,1206,7113,6960,153,2409,2361,48,1681,1010,671,1536,889,647,145,121,24,1462,1290,172
RI,1181,0.941,2013,1055122.0,1384,1267,117,862,753,109,522,514,8,177,175,2,251,198,53,243,190,53,8,8,0,97,95,2
SC,4149,0.841,2013,4764153.0,6544,3411,3133,4736,2339,2397,1808,1072,736,640,365,275,483,143,340,453,125,328,30,18,12,636,345,291
SD,1588,0.378,2013,842270.0,1094,755,339,557,394,163,537,361,176,154,115,39,217,71,146,117,42,75,100,29,71,125,106,19
TN,6979,0.57,2013,6493432.0,9528,6321,3207,6909,4632,2277,2619,1689,930,880,581,299,2219,1162,1057,1929,1079,850,290,83,207,991,728,263
TX,22582,0.633,2013,26489464.0,29615,17525,12090,20758,9681,11077,8857,7844,1013,2826,2532,294,5535,2168,3367,4770,1677,3093,765,491,274,3878,2007,1871
UT,3188,0.918,2013,2897927.0,3277,2859,418,1959,1593,366,1318,1266,52,406,391,15,454,349,105,347,268,79,107,81,26,327,290,37
VA,7935,0.802,2013,8253053.0,7625,6603,1022,4532,3587,945,3093,3016,77,984,959,25,1356,875,481,1262,797,465,94,78,16,719,625,94
VT,1414,0.183,2013,626212.0,1454,1270,184,701,547,154,753,723,30,262,253,9,217,140,77,183,110,73,34,30,4,128,111,17
WA,18551,0.8390000000000001,2013,6962906.0,17760,12707,5053,10617,6032,4585,7143,6675,468,2217,2081,136,2196,1076,1120,1927,955,972,269,121,148,1318,1058,260
WI,6701,0.8909999999999999,2013,5736952.0,6104,5736,368,3005,2703,302,3099,3033,66,1016,994,22,521,383,138,449,313,136,72,70,2,552,528,24
WV,1980,0.6509999999999999,2013,1853873.0,2240,1612,628,1544,1038,506,696,574,122,228,192,36,432,250,182,390,211,179,42,39,3,329,292,37
WY,905,0.7020000000000001,2013,582123.0,953,501,452,677,306,371,276,195,81,84,55,29,244,116,128,221,116,105,23,0,23,137,110,27
AK,1814,0.5684,2014,736307.0,1784,1639,145,1209,1109,100,575,530,45,193,179,14,206,137,69,182,119,63,24,18,6,178,160,18
AL,3724,0.5329999999999999,2014,4842481.0,4561,3518,1043,3115,2373,742,1446,1145,301,457,357,100,729,283,446,618,245,373,111,38,73,542,450,92
AR,2151,0.4389,2014,2967726.0,2936,1503,1433,2303,1070,1233,633,433,200,240,172,68,519,85,434,516,82,434,3,3,0,361,220,141
AZ,8873,0.6833,2014,6733840.0,10495,7926,2569,6194,3851,2343,4301,4075,226,1295,1234,61,959,316,643,904,303,601,55,13,42,858,635,223
CA,44035,0.7057,2014,38625139.0,113952,42515,71437,90765,24857,65908,23187,17658,5529,6956,5128,1828,31078,5131,25947,28200,4417,23783,2878,714,2164,12096,4457,7639
CO,8466,0.6923,2014,5351218.0,10028,8083,1945,5573,4035,1538,4455,4048,407,1317,1187,130,1621,747,874,1335,635,700,286,112,174,753,528,225
CT,3411,0.8499,2014,3594783.0,4450,3531,919,3069,2243,826,1381,1288,93,495,458,37,1215,847,368,1026,696,330,189,151,38,295,221,74
DC,7281,0.9099,2014,662513.0,7748,7352,396,3953,3557,396,3795,3795,0,1231,1231,0,2029,1694,335,1609,1274,335,420,420,0,406,375,31
DE,1172,0.628,2014,932596.0,901,864,37,584,554,30,317,310,7,104,102,2,91,82,9,88,79,9,3,3,0,93,89,4
FL,22316,0.7289,2014,19860330.0,41542,19851,21691,28730,12886,15844,12812,6965,5847,4550,2227,2323,7989,1903,6086,6843,1717,5126,1146,186,960,4552,2424,2128
GA,9256,0.6366,2014,10069001.0,16521,8214,8307,12403,4932,7471,4118,3282,836,1291,1023,268,3004,945,2059,2645,862,1783,359,83,276,1443,647,796
HI,4336,0.9446,2014,1414862.0,6918,3813,3105,3750,1164,2586,3168,2649,519,790,663,127,1301,199,1102,1109,145,964,192,54,138,593,247,346
IA,3643,0.6473,2014,3109504.0,3122,2926,196,1544,1368,176,1578,1558,20,487,482,5,244,154,90,211,121,90,33,33,0,202,177,25
ID,1768,0.5074,2014,1631479.0,2104,1468,636,1234,848,386,870,620,250,264,197,67,244,105,139,156,69,87,88,36,52,215,135,80
IL,12676,0.7391,2014,12888962.0,13107,11409,1698,7350,5793,1557,5757,5616,141,1880,1824,56,1488,1010,478,1349,891,458,139,119,20,1234,913,321
IN,6842,0.4772,2014,6593533.0,5971,5568,403,3953,3560,393,2018,2008,10,654,651,3,596,485,111,542,433,109,54,52,2,725,687,38
KS,3188,0.5684,2014,2900896.0,2783,2534,249,1533,1295,238,1250,1239,11,395,391,4,320,212,108,290,184,106,30,28,2,393,356,37
KY,4262,0.6199,2014,4414483.0,5089,4258,831,3352,2805,547,1737,1453,284,564,496,68,727,499,228,614,424,190,113,75,38,600,558,42
LA,4574,0.6935,2014,4644204.0,4606,3503,1103,3444,2364,1080,1162,1139,23,376,368,8,776,262,514,743,232,511,33,30,3,437,332,105
MA,15471,0.8208,2014,6763652.0,21237,20478,759,6788,6041,747,14449,14437,12,4781,4777,4,3311,3006,305,1590,1285,305,1721,1721,0,1264,1234,30
MD,5950,0.7452,2014,5958165.0,7856,6267,1589,4980,3872,1108,2876,2395,481,948,803,145,1740,1135,605,1515,997,518,225,138,87,654,555,99
ME,2730,0.8037,2014,1330760.0,2726,2633,93,1348,1282,66,1378,1351,27,388,376,12,244,218,26,218,200,18,26,18,8,152,138,14
MI,10643,0.7385,2014,9930589.0,12227,10075,2152,7535,5916,1619,4692,4159,533,1521,1330,191,1293,825,468,1160,745,415,133,80,53,1122,994,128
MN,7336,0.7297,2014,5451522.0,8377,7582,795,3652,3006,646,4725,4576,149,1422,1383,39,1235,889,346,885,562,323,350,327,23,317,263,54
MO,7284,0.4125,2014,6056293.0,7282,6309,973,4307,3651,656,2975,2658,317,902,813,89,997,714,283,735,469,266,262,245,17,652,563,89
MS,1607,0.5986,2014,2990623.0,2226,1405,821,1714,933,781,512,472,40,179,165,14,282,79,203,275,74,201,7,5,2,279,221,58
MT,1337,0.3381,2014,1021891.0,1745,911,834,1167,493,674,578,418,160,166,122,44,270,77,193,256,71,185,14,6,8,256,94,162
NC,9724,0.6484,2014,9933944.0,11491,8874,2617,7498,5738,1760,3993,3136,857,1303,1032,271,1431,720,711,1284,639,645,147,81,66,1164,982,182
ND,936,0.6613,2014,737382.0,1258,794,464,886,526,360,372,268,104,120,88,32,115,101,14,111,97,14,4,4,0,151,117,34
NE,3446,0.6912,2014,1879522.0,3026,2917,109,1893,1788,105,1133,1129,4,347,346,1,426,397,29,365,336,29,61,61,0,241,224,17
NH,1398,0.8169,2014,1333223.0,1376,1243,133,795,676,119,581,567,14,213,207,6,338,286,52,301,251,50,37,35,2,171,162,9
NJ,7561,0.8322,2014,8866780.0,11671,10736,935,6446,5536,910,5225,5200,25,1716,1708,8,1399,1007,392,1150,760,390,249,247,2,630,554,76
NM,2325,0.3819,2014,2090342.0,2746,2318,428,1804,1429,375,942,889,53,306,287,19,709,490,219,617,458,159,92,32,60,318,258,60
NV,5175,0.8578,2014,2819012.0,8582,4797,3785,7356,3571,3785,1226,1226,0,397,397,0,705,104,601,697,96,601,8,8,0,1036,546,490
NY,78506,0.8365,2014,19656330.0,80590,76487,4103,32643,28600,4043,47947,47887,60,14338,14319,19,7212,4783,2429,4350,1947,2403,2862,2836,26,2542,2085,457
OH,10759,0.7208,2014,11602973.0,11823,10720,1103,7704,6769,935,4119,3951,168,1314,1261,53,1481,1009,472,1340,894,446,141,115,26,1236,1102,134
OK,3880,0.6142,2014,3878367.0,4191,3259,932,2964,2291,673,1227,968,259,400,322,78,671,416,255,585,366,219,86,50,36,408,273,135
OR,6924,0.5529999999999999,2014,3964106.0,12164,6101,6063,7988,3665,4323,4176,2436,1740,1275,786,489,2695,577,2118,2207,505,1702,488,72,416,1292,702,590
PA,15922,0.7571,2014,12789101.0,15333,14301,1032,8359,7420,939,6974,6881,93,2384,2357,27,1607,1134,473,1449,983,466,158,151,7,1411,1336,75
RI,1225,0.7796,2014,1056017.0,1190,1170,20,779,761,18,411,409,2,132,131,1,204,198,6,204,198,6,0,0,0,108,108,0
SC,3473,0.6404,2014,4823793.0,5057,3249,1808,3813,2252,1561,1244,997,247,445,337,108,273,100,173,273,100,173,0,0,0,703,399,304
SD,1747,0.336,2014,849088.0,885,830,55,490,450,40,395,380,15,121,117,4,118,92,26,81,68,13,37,24,13,132,128,4
TN,6791,0.5543,2014,6540826.0,9415,6383,3032,6800,4693,2107,2615,1690,925,804,498,306,2195,1364,831,1904,1169,735,291,195,96,1142,920,222
TX,22443,0.5452,2014,26977142.0,28495,18228,10267,19177,9758,9419,9318,8470,848,2784,2549,235,5416,2231,3185,4952,1892,3060,464,339,125,2718,1576,1142
UT,2740,0.6577,2014,2937399.0,3081,2768,313,1729,1540,189,1352,1228,124,398,380,18,422,380,42,386,346,40,36,34,2,317,293,24
VA,6274,0.6398,2014,8312076.0,7020,6330,690,4234,3570,664,2786,2760,26,883,873,10,1021,730,291,965,674,291,56,56,0,620,535,85
VT,1040,0.275,2014,625218.0,1559,1396,163,823,704,119,736,692,44,239,221,18,283,228,55,199,159,40,84,69,15,120,111,9
WA,14886,0.6823,2014,7052439.0,18442,12540,5902,11390,6257,5133,7052,6283,769,2182,1931,251,2535,1129,1406,2311,1015,1296,224,114,110,1433,1089,344
WI,6504,0.7126,2014,5751974.0,6055,5712,343,2929,2676,253,3126,3036,90,1007,977,30,524,447,77,436,359,77,88,88,0,520,496,24
WV,1965,0.6579999999999999,2014,1849467.0,2013,1583,430,1488,1175,313,525,408,117,173,131,42,482,304,178,424,279,145,58,25,33,333,303,30
WY,815,0.4147,2014,582548.0,757,563,194,463,327,136,294,236,58,89,76,13,144,104,40,105,86,19,39,18,21,116,95,21
AK,1860,0.6097,2015,737547.0,1956,1639,317,1342,1084,258,614,555,59,180,163,17,222,81,141,182,70,112,40,11,29,180,149,31
AL,3613,0.4968,2015,4853160.0,3970,2943,1027,2868,2076,792,1102,867,235,360,287,73,607,168,439,557,157,400,50,11,39,474,399,75
AR,2486,0.4051,2015,2978407.0,2560,1678,882,1833,1089,744,727,589,138,240,198,42,623,319,304,524,234,290,99,85,14,456,385,71
AZ,7473,0.7601,2015,6833596.0,9896,6939,2957,6548,3824,2724,3348,3115,233,1002,937,65,1366,344,1022,1246,297,949,120,47,73,1220,672,548
CA,45929,0.6559,2015,38953142.0,115738,42039,73699,93156,24843,68313,22582,17196,5386,7195,5593,1602,32227,5077,27150,29178,4169,25009,3049,908,2141,11311,4309,7002
CO,7653,0.6753,2015,5452107.0,9953,7134,2819,5729,3739,1990,4224,3395,829,1242,996,246,1877,882,995,1572,754,818,305,128,177,950,644,306
CT,3399,0.8226,2015,3587509.0,4047,3421,626,2719,2124,595,1328,1297,31,456,445,11,583,278,305,538,240,298,45,38,7,282,241,41
DC,6963,0.9154,2015,675254.0,7298,6754,544,3821,3277,544,3477,3477,0,1131,1131,0,1790,1470,320,1593,1273,320,197,197,0,408,366,42
DE,1146,0.5419,2015,941413.0,953,916,37,602,565,37,351,351,0,115,115,0,80,75,5,64,59,5,16,16,0,79,74,5
FL,22026,0.7340000000000001,2015,20224249.0,35900,18883,17017,26325,12033,14292,9575,6850,2725,3053,2107,946,6540,1383,5157,6021,1210,4811,519,173,346,3926,2372,1554
GA,9219,0.6075,2015,10181111.0,13790,7987,5803,9702,4783,4919,4088,3204,884,1236,1014,222,2137,622,1515,1994,568,1426,143,54,89,1548,866,682
HI,4363,0.9108,2015,1422484.0,7620,3777,3843,4307,1243,3064,3313,2534,779,798,613,185,1534,180,1354,1372,153,1219,162,27,135,692,275,417
IA,3606,0.5588,2015,3121460.0,3081,2878,203,1501,1302,199,1580,1576,4,496,495,1,275,221,54,201,147,54,74,74,0,207,175,32
ID,1859,0.5056,2015,1651523.0,1966,1497,469,1172,832,340,794,665,129,251,213,38,245,112,133,164,84,80,81,28,53,249,174,75
IL,11975,0.7147,2015,12864342.0,13177,10463,2714,8152,5599,2553,5025,4864,161,1648,1597,51,1912,994,918,1799,892,907,113,102,11,1226,769,457
IN,6511,0.4927,2015,6608296.0,5863,5280,583,3914,3353,561,1949,1927,22,636,631,5,703,529,174,608,450,158,95,79,16,790,726,64
KS,2979,0.5485,2015,2909502.0,2588,2283,305,1466,1191,275,1122,1092,30,346,334,12,379,245,134,339,214,125,40,31,9,311,276,35
KY,4087,0.6469,2015,4425999.0,4538,3796,742,3151,2622,529,1387,1174,213,467,398,69,457,413,44,383,345,38,74,68,6,591,541,50
LA,4028,0.6631,2015,4664851.0,4081,2890,1191,3217,2053,1164,864,837,27,285,276,9,773,287,486,735,255,480,38,32,6,392,350,42
MA,17707,0.862,2015,6795891.0,21135,20542,593,6378,5814,564,14757,14728,29,4903,4892,11,2561,2320,241,1411,1170,241,1150,1150,0,1133,1101,32
MD,6076,0.7556,2015,5986717.0,8390,6594,1796,5383,3987,1396,3007,2607,400,970,847,123,1847,1016,831,1634,923,711,213,93,120,714,586,128
ME,2576,0.7904,2015,1328484.0,2372,2313,59,1219,1170,49,1153,1143,10,358,355,3,217,203,14,193,179,14,24,24,0,151,142,9
MI,10337,0.7478,2015,9932573.0,10516,9444,1072,6546,5553,993,3970,3891,79,1285,1261,24,935,621,314,830,519,311,105,102,3,1067,991,76
MN,6779,0.7097,2015,5482503.0,7546,6705,841,3622,2987,635,3924,3718,206,1192,1121,71,1396,1054,342,1124,833,291,272,221,51,297,253,44
