State,Total Beds,Participation,Year,Population,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Budget
OH,10759,0.7208,2014,11602973.0,11823,10720,1103,7704,6769,935,4119,3951,168,1314,1261,53,1481,1009,472,1340,894,446,141,115,26,1236,1102,134,88254349
OK,3880,0.6142,2014,3878367.0,4191,3259,932,2964,2291,673,1227,968,259,400,322,78,671,416,255,585,366,219,86,50,36,408,273,135,7830616
OR,6924,0.5529999999999999,2014,3964106.0,12164,6101,6063,7988,3665,4323,4176,2436,1740,1275,786,489,2695,577,2118,2207,505,1702,488,72,416,1292,702,590,26694306
PA,15922,0.7571,2014,12789101.0,15333,14301,1032,8359,7420,939,6974,6881,93,2384,2357,27,1607,1134,473,1449,983,466,158,151,7,1411,1336,75,92425789
RI,1225,0.7796,2014,1056017.0,1190,1170,20,779,761,18,411,409,2,132,131,1,204,198,6,204,198,6,0,0,0,108,108,0,5262197
SC,3473,0.6404,2014,4823793.0,5057,3249,1808,3813,2252,1561,1244,997,247,445,337,108,273,100,173,273,100,173,0,0,0,703,399,304,9787199
SD,1747,0.336,2014,849088.0,885,830,55,490,450,40,395,380,15,121,117,4,118,92,26,81,68,13,37,24,13,132,128,4,1225381
TN,6791,0.5543,2014,6540826.0,9415,6383,3032,6800,4693,2107,2615,1690,925,804,498,306,2195,1364,831,1904,1169,735,291,195,96,1142,920,222,21574617
TX,22443,0.5452,2014,26977142.0,28495,18228,10267,19177,9758,9419,9318,8470,848,2784,2549,235,5416,2231,3185,4952,1892,3060,464,339,125,2718,1576,1142,77942382
UT,2740,0.6577,2014,2937399.0,3081,2768,313,1729,1540,189,1352,1228,124,398,380,18,422,380,42,386,346,40,36,34,2,317,293,24,8468719
VA,6274,0.6398,2014,8312076.0,7020,6330,690,4234,3570,664,2786,2760,26,883,873,10,1021,730,291,965,674,291,56,56,0,620,535,85,26943739
VT,1040,0.275,2014,625218.0,1559,1396,163,823,704,119,736,692,44,239,221,18,283,228,55,199,159,40,84,69,15,120,111,9,3731788
WA,14886,0.6823,2014,7052439.0,18442,12540,5902,11390,6257,5133,7052,6283,769,2182,1931,251,2535,1129,1406,2311,1015,1296,224,114,110,1433,1089,344,48190412
WI,6504,0.7126,2014,5751974.0,6055,5712,343,2929,2676,253,3126,3036,90,1007,977,30,524,447,77,436,359,77,88,88,0,520,496,24,22621452
WV,1965,0.6579999999999999,2014,1849467.0,2013,1583,430,1488,1175,313,525,408,117,173,131,42,482,304,178,424,279,145,58,25,33,333,303,30,7232708
WY,815,0.4147,2014,582548.0,757,563,194,463,327,136,294,236,58,89,76,13,144,104,40,105,86,19,39,18,21,116,95,21,327002
AK,1860,0.6097,2015,737547.0,1956,1639,317,1342,1084,258,614,555,59,180,163,17,222,81,141,182,70,112,40,11,29,180,149,31,4440716
AL,3613,0.4968,2015,4853160.0,3970,2943,1027,2868,2076,792,1102,867,235,360,287,73,607,168,439,557,157,400,50,11,39,474,399,75,17096421
AR,2486,0.4051,2015,2978407.0,2560,1678,882,1833,1089,744,727,589,138,240,198,42,623,319,304,524,234,290,99,85,14,456,385,71,39318816
AZ,7473,0.7601,2015,6833596.0,9896,6939,2957,6548,3824,2724,3348,3115,233,1002,937,65,1366,344,1022,1246,297,949,120,47,73,1220,672,548,39318816
CA,45929,0.6559,2015,38953142.0,115738,42039,73699,93156,24843,68313,22582,17196,5386,7195,5593,1602,32227,5077,27150,29178,4169,25009,3049,908,2141,11311,4309,7002,336507106
