,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
FL,19554,16911,13929,0.7123,12424,6948,182,2211,8312,10817,425,1255,1091,12424,10344,8874,0.7143,327,1296,1440,5616,6468,340,266,580,6948,6385,4873,0.7014,771,2696,4167,85,895,511,182,182,182,1,0,0,182,0,94,0,7097,7000,6961,0.9808,1608,5479,1618,0,1199,272,18628,18593,14927,0.8013,2269,6165,12463,0,8393,141,8314,1925,1925,1239,0.6436,176,542,1383,0,137,20
GA,7363,5997,3511,0.4768,4117,3246,0,1009,3001,4329,33,229,163,4117,3119,1949,0.4734,205,143,524,1828,2256,33,36,88,3246,2878,1562,0.4812,485,1173,2073,0,193,75,0,0,0,.,0,0,0,0,0,0,2319,2110,2052,0.8849,505,1714,605,0,412,25,8327,8292,6775,0.8136,1354,3138,5187,2,2705,73,2837,19,19,0,0,2,2,17,0,19,0
GU,140,94,89,0.6357,134,6,0,23,92,29,19,5,24,134,88,83,0.6194,0,7,21,90,26,18,5,18,6,6,6,1,2,2,3,1,0,6,0,0,0,.,0,0,0,0,0,0,66,66,66,1,11,46,20,0,27,0,147,147,75,0.5102,15,51,96,0,72,4,70,0,0,0,.,0,0,0,0,0,0
HI,3599,3370,3346,0.9297,1838,1726,35,588,2211,1372,16,142,27,1838,1679,1679,0.9135,0,13,260,885,937,16,54,16,1726,1656,1632,0.9455,328,1326,400,0,53,11,35,35,35,1,0,0,35,0,35,0,1869,1869,1864,0.9973,384,1628,241,0,94,11,2540,2540,1726,0.6795,167,621,1919,0,847,0,1376,0,0,0,.,0,0,0,0,0,0
IA,3026,2528,2177,0.7194,1601,1401,24,464,1524,1483,19,90,118,1601,1230,1029,0.6427,325,123,181,602,982,17,5,30,1401,1274,1124,0.8023,283,922,477,2,61,88,24,24,24,1,0,0,24,0,24,0,794,434,434,0.5466,172,614,180,0,69,0,1054,1020,749,0.7106,116,298,756,0,428,0,804,234,234,234,1,43,165,69,0,12,0
ID,1413,1088,485,0.3432,1033,380,0,182,662,733,18,131,18,1033,815,368,0.3562,69,120,109,429,586,18,34,18,380,273,117,0.3079,73,233,147,0,97,0,0,0,0,.,0,0,0,0,0,0,423,423,417,0.9858,111,375,48,0,45,0,905,895,641,0.7083,132,419,486,0,419,0,610,0,0,0,.,0,0,0,0,0,0
IL,10210,8834,8083,0.7917,6939,3195,76,1303,4780,5338,92,461,863,6939,5924,5427,0.7821,690,246,732,2997,3866,76,112,273,3195,2834,2580,0.8075,571,1783,1396,16,329,590,76,76,76,1,0,0,76,0,20,0,2159,2085,2050,0.9495,499,1463,696,0,464,7,14779,14753,10947,0.7407,1675,5552,9223,4,4270,49,4407,481,405,405,0.842,108,334,117,30,51,30
IN,5568,4301,3012,0.5409,3823,1645,100,743,2390,3084,94,491,191,3823,2895,1922,0.5027,299,278,493,1659,2073,91,84,98,1645,1306,990,0.6018,250,731,911,3,332,43,100,100,100,1,0,0,100,0,75,50,903,837,832,0.9214,201,648,255,0,203,17,3631,3545,2462,0.6781,452,1204,2427,0,1237,18,1036,96,96,49,0.5104,3,12,84,0,0,0
KS,2599,2005,1014,0.3902,1698,881,20,377,1243,1349,7,167,114,1698,1213,704,0.4146,172,20,225,712,985,1,103,58,881,772,290,0.3292,152,531,344,6,64,56,20,20,20,1,0,0,20,0,0,0,795,751,723,0.9094,162,560,235,0,102,7,1479,1479,1166,0.7884,137,433,1046,0,526,123,313,0,0,0,.,0,0,0,0,0,0
KY,2875,2305,1523,0.5297,2310,565,0,298,988,1844,43,265,110,2310,1783,1056,0.4571,151,313,243,807,1460,43,39,59,565,522,467,0.8265,55,181,384,0,226,51,0,0,0,.,0,0,0,0,0,0,1069,836,836,0.782,254,793,276,0,152,72,3253,3070,2606,0.8011,415,1246,2007,0,932,2,1228,443,443,249,0.5621,40,110,333,0,4,0
LA,2647,2325,1779,0.6721,1508,1075,64,237,809,1773,65,381,174,1508,1277,1016,0.6737,75,49,156,550,911,47,62,107,1075,984,699,0.6502,81,259,798,18,270,67,64,64,64,1,0,0,64,0,49,0,2176,2103,2064,0.9485,437,1473,703,0,268,64,5606,5534,4107,0.7326,584,1704,3902,0,1263,31,2730,13,13,13,1,6,13,0,0,0,0
MA,17310,16396,15529,0.8971,14796,2403,111,4150,12541,4743,26,939,170,14796,14239,13865,0.9371,436,2206,3764,11621,3157,18,88,36,2403,2046,1563,0.6504,386,920,1475,8,805,134,111,111,101,0.9099,0,0,111,0,46,0,5156,5134,4131,0.8012,1515,4530,626,0,240,75,11998,11948,9674,0.8063,1257,3394,8604,0,3185,83,6690,3948,3940,2028,0.5137,1009,2637,1311,0,142,33
MD,5529,5075,4300,0.7777,3470,1970,89,649,2428,3084,17,435,106,3470,3060,2704,0.7793,716,392,379,1646,1811,13,102,18,1970,1926,1507,0.765,270,782,1184,4,319,88,89,89,89,1,0,0,89,0,14,0,1262,1195,1091,0.8645,320,1004,258,0,191,85,7194,7194,6088,0.8463,1237,3560,3634,0,1315,57,2118,1911,1911,623,0.326,446,1187,724,0,5,5
ME,2734,2428,2243,0.8204,1225,1494,15,435,1333,1381,20,51,138,1225,1071,924,0.7543,0,111,173,558,651,16,12,57,1494,1342,1304,0.8728,262,775,715,4,39,81,15,15,15,1,0,0,15,0,0,0,298,298,298,1,68,214,84,0,0,0,2360,2334,2320,0.9831,307,964,1396,0,327,0,279,89,39,39,0.4382,27,86,3,0,0,0
MI,8531,6544,5872,0.6883,6012,2441,78,1186,3918,4479,134,684,400,6012,4718,4179,0.6951,752,293,758,2663,3246,103,135,129,2441,1748,1615,0.6616,428,1255,1155,31,485,271,78,78,78,1,0,0,78,0,64,0,4099,4070,4068,0.9924,971,3249,850,0,290,199,9662,9625,8123,0.8407,1375,4115,5547,0,2069,25,4722,2777,2777,322,0.116,540,1885,892,0,91,10
MN,6660,5811,4893,0.7347,4002,2640,18,1172,3616,2938,106,105,785,4002,3333,2986,0.7461,260,86,586,1976,1977,49,9,160,2640,2460,1889,0.7155,586,1640,943,57,96,625,18,18,18,1,0,0,18,0,0,0,2560,2523,2394,0.9352,706,2178,382,0,157,263,10464,10416,8950,0.8553,1619,4793,5620,51,900,377,2494,4287,4244,3913,0.9128,612,2147,2130,10,62,121
MO,5624,3838,2829,0.503,3730,1843,51,809,2562,2909,153,380,457,3730,2162,1836,0.4922,180,508,490,1643,1974,113,98,153,1843,1625,942,0.5111,319,919,884,40,249,304,51,51,51,1,0,0,51,0,33,0,1472,1366,1311,0.8906,296,998,471,3,358,144,5842,5825,4541,0.7773,816,2574,3268,0,1296,55,3558,148,148,27,0.1824,13,34,114,0,41,0
MP,30,0,0,0,30,0,0,4,5,20,5,0,5,30,0,0,0,0,0,4,5,20,5,0,5,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,15,15,0,0,2,12,3,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
MS,1079,735,629,0.5829,649,430,0,114,538,515,26,24,44,649,393,315,0.4854,16,18,83,354,269,26,0,31,430,342,314,0.7302,31,184,246,0,24,13,0,0,0,.,0,0,0,0,0,0,794,751,751,0.9458,248,564,230,0,141,41,343,331,259,0.7551,46,128,215,0,80,12,163,0,0,0,.,0,0,0,0,0,0
MT,1376,1081,151,0.1097,1039,337,0,190,846,516,14,109,29,1039,815,43,0.0414,48,116,130,655,380,4,0,4,337,266,108,0.3205,60,191,136,10,109,25,0,0,0,.,0,0,0,0,0,0,654,654,653,0.9985,111,312,318,24,118,52,883,883,372,0.4213,106,264,619,0,511,13,359,14,14,14,1,0,0,14,0,0,0
NC,7963,6603,5313,0.6672,5965,1998,0,827,3136,4760,67,529,155,5965,4689,3811,0.6389,520,387,570,2323,3593,49,125,60,1998,1914,1502,0.7518,257,813,1167,18,404,95,0,0,0,.,0,0,0,0,0,0,2392,2199,2179,0.911,556,1834,558,0,272,80,6439,6430,4598,0.7141,801,2633,3806,0,2163,0,4220,383,383,383,1,110,333,50,0,50,0
ND,726,494,488,0.6722,455,261,10,95,315,385,26,36,67,455,291,291,0.6396,15,25,49,160,269,26,0,38,261,193,187,0.7165,46,155,106,0,26,29,10,10,10,1,0,0,10,0,10,0,76,76,76,1,6,13,63,0,76,0,517,487,431,0.8337,104,225,292,0,155,0,239,10,10,10,1,0,0,10,0,0,0
NE,2390,2160,1409,0.5895,1686,704,0,282,906,1467,17,89,102,1686,1485,1017,0.6032,0,288,166,579,1090,17,22,17,704,675,392,0.5568,116,327,377,0,67,85,0,0,0,.,0,0,0,0,0,0,896,835,832,0.9286,195,657,239,0,106,60,1240,1240,667,0.5379,149,403,837,0,556,56,517,273,273,114,0.4176,28,75,198,0,51,0
NH,1349,1176,1092,0.8095,819,521,9,257,761,572,16,107,61,819,666,603,0.7363,96,54,125,387,416,16,0,16,521,501,480,0.9213,132,374,147,0,106,45,9,9,9,1,0,0,9,0,1,0,307,307,307,1,66,223,84,0,47,0,1114,1114,718,0.6445,169,552,562,0,382,0,236,87,87,72,0.8276,20,55,32,0,0,0
NJ,7099,6344,5928,0.835,4624,2455,20,1640,3885,3140,74,369,293,4624,4152,3876,0.8382,277,2137,1147,2534,2022,68,11,143,2455,2172,2032,0.8277,493,1351,1098,6,358,150,20,20,20,1,0,0,20,0,0,0,1695,1695,1650,0.9735,435,1347,348,0,181,36,6759,6706,5357,0.7926,1080,2574,4182,3,1499,220,3776,443,443,427,0.9639,63,178,265,0,13,0
NM,1651,1123,630,0.3816,1111,540,0,201,718,832,101,85,139,1111,654,353,0.3177,562,97,119,478,548,85,15,85,540,469,277,0.513,82,240,284,16,70,54,0,0,0,.,0,0,0,0,0,0,842,584,583,0.6924,218,691,151,0,162,14,2545,2539,1325,0.5206,419,1063,1481,1,525,1,1421,124,124,104,0.8387,32,116,8,0,0,0
NV,3033,2725,2390,0.788,1736,1082,215,237,605,2357,71,457,244,1736,1491,1275,0.7344,336,422,167,491,1186,59,69,93,1082,1019,900,0.8318,70,114,956,12,388,151,215,215,215,1,0,0,215,0,0,0,700,700,664,0.9486,158,521,179,0,191,45,3318,3318,1691,0.5096,338,843,2473,2,2106,46,1920,68,68,68,1,0,0,68,0,25,6
NY,88063,83927,74982,0.8515,82292,5676,95,16823,52896,35006,161,773,1448,82292,78383,71044,0.8633,545,3215,16323,51547,30618,127,260,718,5676,5449,3843,0.6771,500,1349,4293,34,446,730,95,95,95,1,0,0,95,0,67,0,4954,4758,4614,0.9314,1221,3508,1445,1,1030,175,42183,41559,26414,0.6262,3687,10672,31511,0,7285,742,21842,668,668,297,0.4446,132,440,228,0,25,0
OH,9269,7864,6755,0.7288,7265,1905,99,1188,3740,5425,104,643,356,7265,6188,5227,0.7195,473,698,882,2890,4294,81,134,175,1905,1577,1429,0.7501,306,850,1032,23,452,181,99,99,99,1,0,0,99,0,57,0,5352,5191,5157,0.9636,1163,3872,1480,0,567,322,17895,17895,15738,0.8795,2222,7028,10867,0,2981,287,8062,46,46,46,1,12,26,20,0,20,0
OK,3339,2634,1954,0.5852,2646,668,25,353,1234,1993,112,151,306,2646,2000,1505,0.5688,45,99,259,948,1586,112,59,217,668,609,424,0.6347,94,286,382,0,92,89,25,25,25,1,0,0,25,0,0,0,513,448,381,0.7427,82,300,213,0,190,11,1917,1901,1204,0.6281,130,408,1509,0,759,48,753,14,10,0,0,3,6,8,0,1,0
OR,6419,5838,3440,0.5359,4174,2235,10,720,2024,4262,133,321,436,4174,3766,2234,0.5352,504,104,434,1234,2837,103,48,230,2235,2062,1196,0.5351,286,790,1415,30,273,206,10,10,10,1,0,0,10,0,0,0,3621,3325,3282,0.9064,834,2767,852,2,531,54,7426,7357,5660,0.7622,1065,3007,4419,0,2097,55,2562,190,190,167,0.8789,25,78,112,0,0,0
PA,12909,11250,9224,0.7145,8096,4501,312,2053,6456,6366,87,762,537,8096,6933,5400,0.667,1163,285,1176,3909,4101,86,142,201,4501,4005,3532,0.7847,877,2547,1953,1,575,312,312,312,292,0.9359,0,0,312,0,45,24,4824,4674,4427,0.9177,1088,3579,1244,1,619,166,12895,12804,9867,0.7652,1979,6252,6643,0,2918,92,5440,375,375,234,0.624,17,48,327,0,29,0
PR,955,772,767,0.8031,455,478,22,51,152,785,18,35,27,455,403,401,0.8813,0,5,14,42,395,18,10,19,478,347,344,0.7197,37,110,368,0,25,8,22,22,22,1,0,0,22,0,0,0,213,137,132,0.6197,37,110,103,0,3,7,1931,1822,1815,0.9399,175,517,1414,0,272,14,1053,255,255,255,1,0,0,255,0,0,0
RI,1003,827,727,0.7248,662,341,0,133,375,623,5,68,21,662,595,501,0.7568,142,7,68,184,473,5,0,5,341,232,226,0.6628,65,191,150,0,68,16,0,0,0,.,0,0,0,0,0,0,366,366,366,1,71,222,144,0,61,0,1244,1244,1012,0.8135,144,513,731,0,288,37,547,658,652,652,0.9909,99,256,402,0,1,1
SC,3001,2587,1859,0.6195,2146,838,17,219,1202,1749,50,281,115,2146,1767,1228,0.5722,599,79,140,898,1232,16,58,40,838,803,614,0.7327,79,304,500,34,218,75,17,17,17,1,0,0,17,0,5,0,551,551,547,0.9927,95,315,236,0,169,10,2052,1979,1556,0.7583,185,539,1513,0,1140,4,1259,237,237,237,1,25,100,115,22,12,26
SD,1090,699,170,0.156,990,100,0,225,621,468,1,97,22,990,599,112,0.1131,15,101,225,621,369,0,17,14,100,100,58,0.58,0,0,99,1,80,8,0,0,0,.,0,0,0,0,0,0,373,346,231,0.6193,210,313,60,0,34,7,519,519,103,0.1985,75,188,331,0,388,18,69,25,25,25,1,0,0,25,0,25,4
TN,5674,5067,2731,0.4813,3786,1875,13,418,1679,3976,19,411,31,3786,3256,1409,0.3722,842,250,256,1140,2627,19,5,23,1875,1798,1309,0.6981,162,539,1336,0,401,8,13,13,13,1,0,0,13,0,5,0,1075,1075,1058,0.9842,218,711,364,0,209,3,4714,4689,3710,0.787,1028,2123,2591,0,1610,3,1528,180,161,36,0.2,2,5,175,0,8,0
TX,18006,14249,10582,0.5877,13487,4410,109,2122,7649,10169,188,1329,896,13487,10648,7995,0.5928,304,397,1391,5221,8082,184,802,597,4410,3492,2479,0.5621,731,2428,1978,4,464,299,109,109,108,0.9908,0,0,109,0,63,0,5143,3910,3765,0.7321,1183,3874,1269,0,1080,86,14432,14178,10574,0.7327,1657,5055,9377,0,7018,141,7336,2393,2393,2109,0.8813,468,1616,777,0,44,23
UT,2968,2239,1943,0.6546,2387,581,0,387,1275,1640,53,178,99,2387,1814,1664,0.6971,80,45,316,1015,1319,53,8,61,581,425,279,0.4802,71,260,321,0,170,38,0,0,0,.,0,0,0,0,0,0,1409,1376,1375,0.9759,299,1046,308,55,115,69,2624,2616,2518,0.9596,353,1248,1376,0,593,28,1762,155,2,2,0.0129,45,153,2,0,0,0
VA,5303,4152,3480,0.6562,4184,1079,40,812,2751,2519,33,153,110,4184,3262,2853,0.6819,1102,306,583,2014,2137,33,52,57,1079,850,587,0.544,229,737,342,0,79,53,40,40,40,1,0,0,40,0,22,0,3119,2729,2558,0.8201,718,2366,753,0,243,32,4375,4375,2697,0.6165,386,1298,3077,0,1689,2,1486,849,849,819,0.9647,78,288,561,0,3,0
VI,205,187,68,0.3317,154,51,0,41,72,133,0,0,0,154,147,28,0.1818,0,0,30,61,93,0,0,0,51,40,40,0.7843,11,11,40,0,0,0,0,0,0,.,0,0,0,0,0,0,11,11,11,1,0,0,11,0,10,0,73,73,73,1,4,12,61,0,18,0,0,0,0,0,.,0,0,0,0,0,0
VT,937,767,626,0.6681,675,262,0,115,373,559,5,86,92,675,556,498,0.7378,185,396,92,309,365,1,5,27,262,211,128,0.4885,23,64,194,4,81,65,0,0,0,.,0,0,0,0,0,0,588,566,351,0.5969,170,497,91,0,34,0,576,576,313,0.5434,34,99,477,0,242,0,346,22,22,22,1,0,0,22,0,0,0
WA,15016,13380,9837,0.6551,9492,5474,50,2452,7955,6848,213,459,1009,9492,8486,6286,0.6622,933,340,1190,4109,5208,175,96,492,5474,4844,3501,0.6396,1262,3846,1590,38,358,517,50,50,50,1,0,0,50,0,5,0,4942,4732,4541,0.9189,1077,2845,2097,0,581,269,11899,11732,9311,0.7825,1256,3737,8162,0,3266,87,5611,3535,3389,3054,0.8639,769,2610,925,0,211,171
WI,4721,3493,3273,0.6933,3190,1463,68,863,2634,2031,56,241,173,3190,2325,2231,0.6994,378,290,541,1664,1471,55,3,77,1463,1100,974,0.6658,322,970,492,1,238,96,68,68,68,1,0,0,68,0,0,0,1598,1598,1596,0.9987,380,1325,270,3,68,65,3583,3574,3222,0.8992,308,931,2652,0,1265,0,1200,629,629,584,0.9285,72,265,364,0,11,0
WV,1593,1266,1035,0.6497,1292,287,14,199,625,957,11,114,11,1292,985,797,0.6169,26,48,157,512,774,6,37,6,287,267,224,0.7805,42,113,169,5,77,5,14,14,14,1,0,0,14,0,0,0,387,387,387,1,52,162,225,0,131,0,1261,1258,901,0.7145,174,446,815,0,550,7,641,154,154,154,1,15,41,113,0,0,0
WY,560,508,401,0.7161,345,215,0,102,257,277,26,19,36,345,293,207,0.6,20,0,71,139,194,12,0,12,215,215,194,0.9023,31,118,83,14,19,24,0,0,0,.,0,0,0,0,0,0,32,29,29,0.9063,2,4,28,0,29,0,230,230,73,0.3174,35,73,157,0,157,0,209,0,0,0,.,0,0,0,0,0,0
Total,389622,341939,276147,0.7088,286203,101029,2390,60432,193277,192678,3667,19134,16455,286203,250130,206342,0.721,21776,18216,44155,144632,138648,2923,4348,6835,101029,89444,67490,0.668,16277,48645,51640,744,13817,9546,2390,2365,2315,0.9686,0,0,2390,0,969,74,109095,103221,99541,0.9124,25548,81102,27899,94,14665,3245,361386,358544,270153,0.7475,42774,125586,235680,120,103783,3895,168503,36790,36257,26054,0.7082,6616,20459,16269,62,1684,494
