,"Total Beds (ES, TH, SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,,,Total Rapid Re-Housing (Including Demonstration Programs),,,,,,,,Rapid Re-Housing (Excluding Demonstration Programs),,,,,,,,Rapid Re-Housing Demonstration Projects (DEM),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,Other Permanent Housing (OPH),,,,,,,
FL,22026,19428,16166,0.734,10891,10997,138,2605,9254,12345,427,10891,9108,7853,0.7211,391,728,1108,4208,6392,291,10997,10204,8175,0.7434,1497,5046,5815,136,138,138,138,1,0,0,138,0,3126,3070,2796,0.8944,547,1731,1395,0,2926,2870,2596,0.8872,483,1531,1395,0,200,200,200,1,64,200,0,0,16271,16229,11201,0.6884,2495,6599,9672,0,1483,1483,554,0.3736,274,756,727,0
GA,9219,7760,5601,0.6075,4416,4803,0,1126,3877,5321,21,4416,3500,2368,0.5362,257,270,454,1650,2753,13,4803,4264,3233,0.6731,672,2227,2568,8,0,0,0,.,0,0,0,0,991,916,745,0.7518,254,785,206,0,948,873,745,0.7859,235,742,206,0,43,43,0,0,19,43,0,0,8319,8283,5920,0.7116,1286,3161,5158,0,28,28,0,0,0,0,28,0
GU,154,101,100,0.6494,132,22,0,19,82,43,29,132,108,78,0.5909,0,7,19,82,21,29,22,22,22,1,0,0,22,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,104,104,57,0.5481,10,27,77,0,0,0,0,.,0,0,0,0
HI,4363,4174,3974,0.9108,1404,2934,25,782,2840,1507,16,1404,1252,1241,0.8839,0,61,213,641,747,16,2934,2897,2708,0.923,569,2199,735,0,25,25,25,1,0,0,25,0,54,54,54,1,4,13,41,0,54,54,54,1,4,13,41,0,0,0,0,.,0,0,0,0,1305,1305,1029,0.7885,140,344,961,0,0,0,0,.,0,0,0,0
IA,3606,2935,2015,0.5588,1615,1991,0,656,2032,1560,14,1615,1246,647,0.4006,25,102,219,704,907,4,1991,1689,1368,0.6871,437,1328,653,10,0,0,0,.,0,0,0,0,271,188,184,0.679,89,217,54,0,271,188,184,0.679,89,217,54,0,0,0,0,.,0,0,0,0,1022,1022,652,0.638,169,512,510,0,241,241,218,0.9046,40,147,94,0
ID,1859,1586,940,0.5056,939,920,0,290,903,942,14,939,706,342,0.3642,0,33,136,389,536,14,920,880,598,0.65,154,514,406,0,0,0,0,.,0,0,0,0,306,306,305,0.9967,68,248,58,0,306,306,305,0.9967,68,248,58,0,0,0,0,.,0,0,0,0,854,832,612,0.7166,130,407,447,0,0,0,0,.,0,0,0,0
IL,11975,10628,8559,0.7147,4918,6977,80,1706,5940,5923,112,4918,3996,2592,0.527,611,297,418,1588,3281,49,6977,6552,5887,0.8438,1288,4352,2562,63,80,80,80,1,0,0,80,0,976,976,955,0.9785,274,818,158,0,976,976,955,0.9785,274,818,158,0,0,0,0,.,0,0,0,0,12162,12162,10015,0.8235,1455,4418,7744,0,272,272,62,0.2279,57,211,61,0
IN,6511,5078,3208,0.4927,3715,2746,50,963,3210,3230,71,3715,2747,1482,0.3989,419,405,515,1789,1864,62,2746,2281,1676,0.6103,448,1421,1316,9,50,50,50,1,0,0,50,0,1248,1220,1220,0.9776,249,711,535,2,1248,1220,1220,0.9776,249,711,535,2,0,0,0,.,0,0,0,0,3171,3157,2290,0.7222,410,1134,2037,0,132,118,8,0.0606,18,50,82,0
KS,2979,2319,1634,0.5485,1844,1115,20,461,1517,1450,12,1844,1355,923,0.5005,120,114,253,859,985,0,1115,944,691,0.6197,208,658,445,12,20,20,20,1,0,0,20,0,186,168,168,0.9032,47,139,47,0,186,168,168,0.9032,47,139,47,0,0,0,0,.,0,0,0,0,1400,1400,1329,0.9493,175,497,903,0,12,12,0,0,2,6,6,0
KY,4087,3527,2644,0.6469,2320,1767,0,449,1390,2660,37,2320,1886,1160,0.5,115,142,204,672,1611,37,1767,1641,1484,0.8398,245,718,1049,0,0,0,0,.,0,0,0,0,212,209,209,0.9858,48,152,60,0,212,209,209,0.9858,48,152,60,0,0,0,0,.,0,0,0,0,3347,3199,2334,0.6973,523,1428,1919,0,98,98,98,1,35,77,21,0
LA,4028,3527,2671,0.6631,1931,2055,42,370,1253,2711,64,1931,1629,1266,0.6556,59,49,175,629,1263,39,2055,1856,1363,0.6633,195,624,1406,25,42,42,42,1,0,0,42,0,814,812,623,0.7654,171,533,281,0,616,614,425,0.6899,110,335,281,0,198,198,198,1,61,198,0,0,4634,4568,3303,0.7128,513,1386,3248,0,27,27,27,1,2,4,23,0
MA,17707,16671,15263,0.862,13961,3693,53,4226,12343,5352,12,13961,13506,12675,0.9079,383,3579,3649,10862,3095,4,3693,3112,2546,0.6894,577,1481,2204,8,53,53,42,0.7925,0,0,53,0,2515,2515,1126,0.4477,368,2105,410,0,2413,2413,1024,0.4244,343,2014,399,0,102,102,102,1,25,91,11,0,11088,11029,9018,0.8133,1195,3086,8002,0,1904,1877,1309,0.6875,476,1243,661,0
MD,6076,5607,4591,0.7556,3014,2953,109,784,2824,3234,18,3014,2653,2289,0.7595,872,863,295,1376,1620,18,2953,2845,2193,0.7426,489,1448,1505,0,109,109,109,1,0,0,109,0,601,560,531,0.8835,221,508,93,0,567,526,511,0.9012,211,474,93,0,34,34,20,0.5882,10,34,0,0,7405,7405,5625,0.7596,1634,4029,3376,0,284,284,284,1,68,171,113,0
ME,2576,2213,2036,0.7904,1204,1357,15,465,1447,1125,4,1204,1031,916,0.7608,0,135,177,559,641,4,1357,1167,1105,0.8143,288,888,469,0,15,15,15,1,0,0,15,0,173,173,173,1,62,120,53,0,173,173,173,1,62,120,53,0,0,0,0,.,0,0,0,0,2764,2729,2657,0.9613,573,1387,1377,0,0,0,0,.,0,0,0,0
MI,10337,8351,7730,0.7478,5634,4622,81,1437,4768,5383,186,5634,4397,4046,0.7181,819,365,642,2306,3198,130,4622,3873,3616,0.7823,795,2462,2104,56,81,81,68,0.8395,0,0,81,0,1729,1690,1683,0.9734,372,1139,590,0,1729,1690,1683,0.9734,372,1139,590,0,0,0,0,.,0,0,0,0,8026,7966,7159,0.892,1125,3459,4567,0,8395,8395,4021,0.479,1655,6004,2391,0
MN,6779,5903,4811,0.7097,3639,3140,0,1177,3915,2745,119,3639,2912,2345,0.6444,173,383,500,1691,1877,71,3140,2991,2466,0.7854,677,2224,868,48,0,0,0,.,0,0,0,0,3229,3229,3150,0.9755,992,2821,403,5,3229,3229,3150,0.9755,992,2821,403,5,0,0,0,.,0,0,0,0,12372,12267,8728,0.7055,1949,6121,6195,56,228,220,171,0.75,59,175,53,0
MO,6700,4798,2834,0.423,4128,2514,58,1169,3126,3422,152,4128,2565,1837,0.445,139,428,601,1791,2230,107,2514,2189,971,0.3862,568,1335,1134,45,58,58,26,0.4483,0,0,58,0,907,835,832,0.9173,164,531,376,0,907,835,832,0.9173,164,531,376,0,0,0,0,.,0,0,0,0,5016,4999,3051,0.6083,1104,2674,2342,0,148,118,106,0.7162,16,32,116,0
MS,1498,1115,874,0.5834,729,769,0,207,765,702,31,729,462,396,0.5432,95,29,95,342,367,20,769,653,478,0.6216,112,423,335,11,0,0,0,.,0,0,0,0,262,262,262,1,39,143,119,0,262,262,262,1,39,143,119,0,0,0,0,.,0,0,0,0,314,304,231,0.7357,38,121,193,0,0,0,0,.,0,0,0,0
MT,1224,949,387,0.3162,761,463,0,252,649,567,8,761,591,144,0.1892,43,116,114,365,395,1,463,358,243,0.5248,138,284,172,7,0,0,0,.,0,0,0,0,50,50,50,1,15,22,28,0,50,50,50,1,15,22,28,0,0,0,0,.,0,0,0,0,550,550,315,0.5727,141,243,307,0,23,23,23,1,3,6,17,0
NC,9337,7914,5803,0.6215,6062,3275,0,1004,3752,5521,64,6062,4782,3560,0.5873,600,471,556,2250,3753,59,3275,3132,2243,0.6849,448,1502,1768,5,0,0,0,.,0,0,0,0,1340,1315,1258,0.9388,343,1040,300,0,1340,1315,1258,0.9388,343,1040,300,0,0,0,0,.,0,0,0,0,6250,6232,4953,0.7925,914,2741,3509,0,0,0,0,.,0,0,0,0
ND,966,731,713,0.7381,770,196,0,152,442,524,0,770,582,580,0.7532,0,69,130,349,421,0,196,149,133,0.6786,22,93,103,0,0,0,0,.,0,0,0,0,16,16,16,1,0,0,16,0,16,16,16,1,0,0,16,0,0,0,0,.,0,0,0,0,746,746,610,0.8177,90,219,527,0,0,0,0,.,0,0,0,0
NE,2973,2709,1954,0.6572,1559,1414,0,401,1338,1569,66,1559,1346,951,0.61,51,258,162,594,921,44,1414,1363,1003,0.7093,239,744,648,22,0,0,0,.,0,0,0,0,417,379,379,0.9089,90,291,126,0,417,379,379,0.9089,90,291,126,0,0,0,0,.,0,0,0,0,1024,1024,637,0.6221,127,382,642,0,181,181,71,0.3923,54,115,66,0
NH,1369,1203,1082,0.7904,748,612,9,275,766,587,16,748,582,534,0.7139,119,16,122,351,381,16,612,612,539,0.8807,153,415,197,0,9,9,9,1,0,0,9,0,116,116,116,1,31,90,26,0,116,116,116,1,31,90,26,0,0,0,0,.,0,0,0,0,1110,1110,747,0.673,184,535,575,0,0,0,0,.,0,0,0,0
NJ,7737,6863,6363,0.8224,4618,3099,20,1361,3897,3763,77,4618,4047,3743,0.8105,217,3128,830,2244,2321,53,3099,2796,2600,0.839,531,1653,1422,24,20,20,20,1,0,0,20,0,1201,1201,1186,0.9875,216,533,668,0,1158,1158,1143,0.987,205,490,668,0,43,43,43,1,11,43,0,0,5939,5860,4648,0.7826,796,2243,3696,0,152,152,152,1,34,103,49,0
NM,2277,1462,899,0.3948,1265,1012,0,352,1308,839,130,1265,748,349,0.2759,425,54,127,626,569,70,1012,714,550,0.5435,225,682,270,60,0,0,0,.,0,0,0,0,336,327,308,0.9167,68,200,136,0,336,327,308,0.9167,68,200,136,0,0,0,0,.,0,0,0,0,2049,2049,1220,0.5954,296,714,1335,0,0,0,0,.,0,0,0,0
NV,4466,4196,3867,0.8659,2904,1537,25,383,1029,3397,40,2904,2670,2605,0.897,328,309,279,761,2120,23,1537,1508,1237,0.8048,104,268,1252,17,25,25,25,1,0,0,25,0,447,447,447,1,89,288,159,0,447,447,447,1,89,288,159,0,0,0,0,.,0,0,0,0,2587,2587,1738,0.6718,309,768,1819,0,56,56,20,0.3571,0,0,56,0
NY,86578,82773,73499,0.8489,77017,9345,216,15923,54257,32067,254,77017,74170,65941,0.8562,333,2111,14724,50763,26087,167,9345,8397,7351,0.7866,1199,3494,5764,87,216,207,207,0.9583,0,0,216,0,3055,3007,465,0.1522,775,2685,370,0,3055,3007,465,0.1522,775,2685,370,0,0,0,0,.,0,0,0,0,39971,39448,24803,0.6205,3967,11515,28449,7,602,602,214,0.3555,139,417,185,0
OH,10273,9054,7611,0.7409,6676,3506,91,1316,3953,6226,94,6676,5782,4654,0.6971,522,732,824,2518,4069,89,3506,3181,2877,0.8206,492,1435,2066,5,91,91,80,0.8791,0,0,91,0,3707,3622,3611,0.9741,923,2901,806,0,3453,3368,3357,0.9722,843,2647,806,0,254,254,254,1,80,254,0,0,15824,15709,13626,0.8611,2152,6207,9545,72,0,0,0,.,0,0,0,0
OK,3804,3056,2362,0.6209,2933,846,25,400,1366,2352,86,2933,2285,1818,0.6198,60,193,277,959,1888,86,846,746,519,0.6135,123,407,439,0,25,25,25,1,0,0,25,0,104,104,100,0.9615,12,43,61,0,104,104,100,0.9615,12,43,61,0,0,0,0,.,0,0,0,0,1517,1495,1007,0.6638,128,375,1142,0,10,10,0,0,1,3,7,0
OR,6144,5636,3275,0.533,3062,3072,10,1177,2522,3503,119,3062,2706,1226,0.4004,554,430,610,1229,1767,66,3072,2920,2039,0.6637,567,1293,1726,53,10,10,10,1,0,0,10,0,2000,1801,1788,0.894,517,1591,409,0,1871,1672,1668,0.8915,477,1462,409,0,129,129,120,0.9302,40,129,0,0,5889,5825,4416,0.7499,823,2110,3779,0,79,79,79,1,17,62,17,0
PA,16140,14229,12077,0.7483,8452,7420,268,2754,8699,7386,55,8452,7255,5745,0.6797,1135,317,1161,3994,4412,46,7420,6706,6109,0.8233,1593,4705,2706,9,268,268,223,0.8321,0,0,268,0,2604,2604,2554,0.9808,475,1605,999,0,2536,2536,2486,0.9803,454,1537,999,0,68,68,68,1,21,68,0,0,13610,13533,10387,0.7632,2112,6665,6945,0,1087,1087,1087,1,300,900,187,0
PR,2112,1671,1665,0.7884,646,1391,75,208,722,1354,36,646,506,503,0.7786,0,0,27,124,486,36,1391,1090,1087,0.7815,181,598,793,0,75,75,75,1,0,0,75,0,272,272,117,0.4301,34,118,154,0,272,272,117,0.4301,34,118,154,0,0,0,0,.,0,0,0,0,1721,1592,1554,0.903,209,563,1158,0,284,284,284,1,3,9,275,0
RI,1142,1008,872,0.7636,705,437,0,202,557,585,0,705,617,497,0.705,148,38,93,282,423,0,437,391,375,0.8581,109,275,162,0,0,0,0,.,0,0,0,0,373,373,373,1,65,223,150,0,373,373,373,1,65,223,150,0,0,0,0,.,0,0,0,0,1506,1506,1411,0.9369,240,678,828,0,118,118,118,1,25,68,50,0
SC,3755,3303,2075,0.5526,1676,2067,12,371,1424,2310,21,1676,1314,739,0.4409,454,76,101,658,1005,13,2067,1977,1324,0.6405,270,766,1293,8,12,12,12,1,0,0,12,0,265,245,168,0.634,34,100,165,0,265,245,168,0.634,34,100,165,0,0,0,0,.,0,0,0,0,1976,1932,1438,0.7277,290,632,1344,0,104,75,0,0,35,104,0,0
SD,1460,1047,663,0.4541,1112,348,0,355,823,577,60,1112,717,349,0.3138,0,114,224,599,471,42,348,336,314,0.9023,131,224,106,18,0,0,0,.,0,0,0,0,80,31,31,0.3875,36,61,19,0,80,31,31,0.3875,36,61,19,0,0,0,0,.,0,0,0,0,621,621,517,0.8325,184,293,328,0,0,0,0,.,0,0,0,0
TN,6981,6351,3505,0.5021,4237,2728,16,828,2384,4587,10,4237,3778,1479,0.3491,279,274,510,1410,2817,10,2728,2557,2010,0.7368,318,974,1754,0,16,16,16,1,0,0,16,0,740,740,708,0.9568,229,598,142,0,740,740,708,0.9568,229,598,142,0,0,0,0,.,0,0,0,0,4800,4741,3100,0.6458,862,2214,2586,0,99,84,32,0.3232,19,56,43,0
TX,20812,16272,11477,0.5515,13382,7302,128,2651,9696,10853,263,13382,10555,6774,0.5062,89,954,1216,4945,8200,237,7302,5590,4598,0.6297,1435,4751,2525,26,128,128,105,0.8203,0,0,128,0,2059,1609,1538,0.747,804,1460,591,8,2014,1564,1493,0.7413,789,1415,591,8,45,45,45,1,15,45,0,0,13058,12755,9380,0.7183,3339,6304,6754,0,438,438,210,0.4795,62,180,258,0
UT,2760,1986,1765,0.6395,1697,1039,24,367,1197,1554,9,1697,1219,1052,0.6199,445,24,177,605,1083,9,1039,743,689,0.6631,190,592,447,0,24,24,24,1,0,0,24,0,637,637,635,0.9969,142,494,143,0,637,637,635,0.9969,142,494,143,0,0,0,0,.,0,0,0,0,2403,2397,2086,0.8681,351,1100,1303,0,2,2,2,1,0,0,2,0
VA,6077,4858,4073,0.6702,3942,2079,56,930,3427,2616,34,3942,3049,2516,0.6383,1151,492,491,1932,1976,34,2079,1764,1501,0.722,439,1495,584,0,56,56,56,1,0,0,56,0,2029,1744,1585,0.7812,522,1623,406,0,2029,1744,1585,0.7812,522,1623,406,0,0,0,0,.,0,0,0,0,4020,4020,2323,0.5779,460,1686,2334,0,312,312,217,0.6955,18,67,245,0
VI,128,85,62,0.4844,82,46,0,16,50,78,0,82,52,37,0.4512,0,0,10,37,45,0,46,33,25,0.5435,6,13,33,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,35,35,25,0.7143,0,0,35,0,0,0,0,.,0,0,0,0
VT,903,808,223,0.247,583,316,4,121,332,571,0,583,523,122,0.2093,62,476,68,183,400,0,316,281,97,0.307,53,149,167,0,4,4,4,1,0,0,4,0,315,315,0,0,98,291,24,0,315,315,0,0,98,291,24,0,0,0,0,.,0,0,0,0,529,529,285,0.5388,40,109,420,0,0,0,0,.,0,0,0,0
WA,14476,12907,9854,0.6807,7415,7016,45,2415,8086,6200,190,7415,6455,4766,0.6428,1222,748,855,3035,4247,133,7016,6407,5043,0.7188,1560,5051,1908,57,45,45,45,1,0,0,45,0,6415,6279,4807,0.7493,1433,4470,1943,2,6344,6236,4736,0.7465,1409,4406,1936,2,71,43,71,1,24,64,7,0,9628,9592,7036,0.7308,888,2638,6980,10,3601,3404,2460,0.6831,856,2834,758,9
WI,6703,5286,4703,0.7016,3656,2983,64,1280,3930,2715,58,3656,2679,2369,0.648,351,297,619,1959,1646,51,2983,2543,2270,0.761,661,1971,1005,7,64,64,64,1,0,0,64,0,514,514,490,0.9533,119,415,99,0,497,497,473,0.9517,114,398,99,0,17,17,17,1,5,17,0,0,2918,2909,2219,0.7605,268,758,2160,0,95,95,42,0.4421,11,42,53,0
WV,1815,1536,1133,0.6242,1279,523,13,217,665,1140,10,1279,1095,794,0.6208,40,94,140,409,865,5,523,428,326,0.6233,77,256,262,5,13,13,13,1,0,0,13,0,158,158,155,0.981,28,90,68,0,158,158,155,0.981,28,90,68,0,0,0,0,.,0,0,0,0,1166,1166,848,0.7273,175,458,708,0,148,148,140,0.9459,13,36,112,0
WY,853,654,505,0.592,450,403,0,143,433,419,1,450,290,207,0.46,19,3,78,189,260,1,403,364,298,0.7395,65,244,159,0,0,0,0,.,0,0,0,0,15,15,15,1,4,10,5,0,15,15,15,1,4,10,5,0,0,0,0,.,0,0,0,0,207,207,16,0.0773,22,48,157,2,0,0,0,.,0,0,0,0
Total,426267,375705,302818,0.7104,264440,159784,2043,66170,216700,205486,4081,264440,230170,183641,0.6945,20791,22376,39261,133007,128575,2858,159784,143606,117297,0.7341,26909,83693,74868,1223,2043,2034,1880,0.9202,0,0,2043,0,60312,58219,50152,0.8315,14478,44861,15433,18,58615,56550,48533,0.828,13942,43229,15368,18,1697,1669,1619,0.954,536,1632,65,0,318673,315969,233211,0.7318,43124,119194,199327,152,24329,24003,14406,0.5921,4935,16041,8279,9
