,"Total Beds (ES, TH, SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,,,Total Rapid Re-Housing (Including Demonstration Programs),,,,,,,,Rapid Re-Housing (Excluding Demonstration Programs),,,,,,,,Rapid Re-Housing Demonstration Projects (DEM),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,Other Permanent Housing (OPH),,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Total Year-Round Beds (RRH & DEM),Total Non-DV Year-Round Beds (RRH & DEM),Total HMIS Year-Round Beds (RRH & DEM),HMIS Participation Rate for Year-Round Beds (RRH & DEM),Total Units for Households with Children (RRH & DEM),Total Beds for Households with Children (RRH & DEM),Total Beds for Households without Children (RRH & DEM),Total Beds for Households with only Children (RRH & DEM),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Total Year-Round Beds (DEM),Total Non-DV Year-Round Beds (DEM),Total HMIS Year-Round Beds (DEM),HMIS Participation Rate for Year-Round Beds (DEM),Total Units for Households with Children (DEM),Total Beds for Households with Children (DEM),Total Beds for Households without Children (DEM),Total Beds for Households with only Children (DEM),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH)
AK,1860,1425,1134,0.6097,1184,676,0,202,651,1167,42,1184,826,640,0.5405,61,103,123,387,772,25,676,599,494,0.7308,79,264,395,17,0,0,0,.,0,0,0,0,35,21,21,0.6,9,25,10,0,35,21,21,0.6,9,25,10,0,0,0,0,.,0,0,0,0,776,766,448,0.5773,70,255,521,0,71,71,71,1,0,0,71,0
AL,3613,3121,1795,0.4968,1868,1711,34,413,1253,2316,44,1868,1576,926,0.4957,60,127,181,544,1280,44,1711,1511,835,0.488,232,709,1002,0,34,34,34,1,0,0,34,0,720,720,651,0.9042,107,354,366,0,720,720,651,0.9042,107,354,366,0,0,0,0,.,0,0,0,0,2995,2995,1952,0.6518,391,1207,1788,0,210,210,0,0,6,20,190,0
AR,2486,1839,1007,0.4051,1727,759,0,301,963,1480,43,1727,1142,546,0.3162,0,320,209,693,1009,25,759,707,461,0.6074,92,270,471,18,0,0,0,.,0,0,0,0,124,124,124,1,32,79,45,0,124,124,124,1,32,79,45,0,0,0,0,.,0,0,0,0,708,708,607,0.8573,121,329,379,0,328,322,22,0.0671,3,11,317,0
AZ,7473,6429,5680,0.7601,3692,3741,40,1190,3412,3957,104,3692,2910,2703,0.7321,133,80,499,1496,2115,81,3741,3479,2937,0.7851,691,1916,1802,23,40,40,40,1,0,0,40,0,1543,1481,1418,0.919,350,1076,467,0,1256,1194,1131,0.9005,245,789,467,0,287,287,287,1,105,287,0,0,6789,6789,5141,0.7573,672,2109,4680,0,1322,1322,965,0.73,236,946,376,0
CA,45929,41095,30125,0.6559,20857,24900,172,6282,21335,24151,443,20857,18315,11624,0.5573,5334,1119,2554,9127,11347,383,24900,22608,18348,0.7369,3728,12208,12632,60,172,172,153,0.8895,0,0,172,0,6673,6417,5698,0.8539,1702,5671,1001,1,6673,6417,5698,0.8539,1702,5671,1001,1,0,0,0,.,0,0,0,0,50221,49800,35359,0.7041,5376,16343,33873,5,1745,1745,1339,0.7673,397,1176,569,0
CO,7653,6834,5168,0.6753,3263,4365,25,1136,4088,3244,321,3263,2729,1888,0.5786,1034,533,331,1438,1757,68,4365,4080,3255,0.7457,805,2650,1462,253,25,25,25,1,0,0,25,0,849,849,845,0.9953,184,538,311,0,822,822,818,0.9951,175,511,311,0,27,27,27,1,9,27,0,0,3334,3268,2659,0.7975,462,853,2481,0,10,10,0,0,1,10,0,0
CT,3399,3056,2796,0.8226,2295,1104,0,477,1513,1868,18,2295,2038,1943,0.8466,375,162,288,992,1285,18,1104,1018,853,0.7726,189,521,583,0,0,0,0,.,0,0,0,0,406,406,382,0.9409,95,279,127,0,289,289,277,0.9585,68,209,80,0,117,117,105,0.8974,27,70,47,0,6216,6142,4883,0.7856,867,2344,3872,0,0,0,0,.,0,0,0,0
DC,6963,6570,6374,0.9154,4843,2120,0,1239,3798,3155,10,4843,4670,4571,0.9438,599,103,811,2607,2226,10,2120,1900,1803,0.8505,428,1191,929,0,0,0,0,.,0,0,0,0,2921,2921,2921,1,888,2736,185,0,2859,2859,2859,1,868,2674,185,0,62,62,62,1,20,62,0,0,5679,5643,5059,0.8908,853,2703,2976,0,0,0,0,.,0,0,0,0
DE,1146,1068,621,0.5419,588,558,0,184,497,633,16,588,510,290,0.4932,70,45,67,215,368,5,558,558,331,0.5932,117,282,265,11,0,0,0,.,0,0,0,0,176,176,176,1,40,147,29,0,176,176,176,1,40,147,29,0,0,0,0,.,0,0,0,0,727,727,546,0.751,21,63,664,0,0,0,0,.,0,0,0,0
