State,Year,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
NH,2015,1445,1313,132,778,666,112,667,647,20,244,238,6,317,260,57,257,205,52,60,55,5,138,124,14
NJ,2015,10098,9124,974,6189,5293,896,3909,3831,78,1346,1327,19,1410,972,438,1182,752,430,228,220,8,696,616,80
NM,2015,2629,2175,454,1666,1237,429,963,938,25,296,290,6,716,445,271,621,360,261,95,85,10,278,214,64
NV,2015,8743,4528,4215,7858,3646,4212,885,882,3,279,278,1,594,117,477,585,108,477,9,9,0,860,516,344
NY,2015,88250,84228,4022,36135,32172,3963,52115,52056,59,15361,15344,17,7116,4733,2383,4327,1982,2345,2789,2751,38,2399,2268,131
OH,2015,11182,10083,1099,7565,6590,975,3617,3493,124,1108,1073,35,1275,887,388,1160,782,378,115,105,10,1183,1073,110
OK,2015,3777,2999,778,2781,2111,670,996,888,108,343,305,38,581,342,239,508,289,219,73,53,20,351,253,98
OR,2015,13226,5831,7395,9461,4048,5413,3765,1783,1982,1179,586,593,4011,1008,3003,3521,921,2600,490,87,403,1464,769,695
PA,2015,15421,13993,1428,8605,7276,1329,6816,6717,99,2299,2269,30,1590,1040,550,1442,909,533,148,131,17,1375,1295,80
PR,2015,4518,1421,3097,3929,1029,2900,589,392,197,170,121,49,1756,195,1561,1615,195,1420,141,0,141,164,55,109
RI,2015,1111,1075,36,706,673,33,405,402,3,112,111,1,130,118,12,110,100,10,20,18,2,107,105,2
SC,2015,5354,3458,1896,3934,2465,1469,1420,993,427,510,332,178,1020,525,495,916,456,460,104,69,35,681,470,211
SD,2015,1036,900,136,630,506,124,406,394,12,125,122,3,95,67,28,85,59,26,10,8,2,177,170,7
TN,2015,9123,5879,3244,6516,4075,2441,2607,1804,803,869,578,291,1650,702,948,1492,648,844,158,54,104,945,756,189
TX,2015,23678,16192,7486,16265,9234,7031,7413,6958,455,2316,2159,157,4304,1915,2389,3778,1543,2235,526,372,154,2393,1490,903
UT,2015,3025,2799,226,1809,1605,204,1216,1194,22,364,357,7,233,215,18,178,165,13,55,50,5,337,313,24
VA,2015,7001,6190,811,4190,3434,756,2811,2756,55,890,874,16,1158,789,369,1041,702,339,117,87,30,604,513,91
VI,2015,337,85,252,308,56,252,29,29,0,10,10,0,22,4,18,22,4,18,0,0,0,34,4,30
VT,2015,1523,1373,150,910,775,135,613,598,15,201,197,4,166,111,55,139,84,55,27,27,0,119,113,6
WA,2015,19419,12298,7121,12526,6200,6326,6893,6098,795,2154,1936,218,2482,1027,1455,2261,908,1353,221,119,102,1293,886,407
WI,2015,6057,5615,442,2992,2647,345,3065,2968,97,954,923,31,464,377,87,361,277,84,103,100,3,534,515,19
WV,2015,1835,1403,432,1414,1049,365,421,354,67,129,108,21,386,226,160,352,192,160,34,34,0,305,227,78
WY,2015,798,507,291,500,292,208,298,215,83,93,71,22,102,37,65,86,35,51,16,2,14,112,83,29
AK,2014,1784,1639,145,1209,1109,100,575,530,45,193,179,14,206,137,69,182,119,63,24,18,6,178,160,18
AL,2014,4561,3518,1043,3115,2373,742,1446,1145,301,457,357,100,729,283,446,618,245,373,111,38,73,542,450,92
AR,2014,2936,1503,1433,2303,1070,1233,633,433,200,240,172,68,519,85,434,516,82,434,3,3,0,361,220,141
AZ,2014,10495,7926,2569,6194,3851,2343,4301,4075,226,1295,1234,61,959,316,643,904,303,601,55,13,42,858,635,223
CA,2014,113952,42515,71437,90765,24857,65908,23187,17658,5529,6956,5128,1828,31078,5131,25947,28200,4417,23783,2878,714,2164,12096,4457,7639
CO,2014,10028,8083,1945,5573,4035,1538,4455,4048,407,1317,1187,130,1621,747,874,1335,635,700,286,112,174,753,528,225
CT,2014,4450,3531,919,3069,2243,826,1381,1288,93,495,458,37,1215,847,368,1026,696,330,189,151,38,295,221,74
DC,2014,7748,7352,396,3953,3557,396,3795,3795,0,1231,1231,0,2029,1694,335,1609,1274,335,420,420,0,406,375,31
DE,2014,901,864,37,584,554,30,317,310,7,104,102,2,91,82,9,88,79,9,3,3,0,93,89,4
FL,2014,41542,19851,21691,28730,12886,15844,12812,6965,5847,4550,2227,2323,7989,1903,6086,6843,1717,5126,1146,186,960,4552,2424,2128
GA,2014,16521,8214,8307,12403,4932,7471,4118,3282,836,1291,1023,268,3004,945,2059,2645,862,1783,359,83,276,1443,647,796
GU,2014,1356,126,1230,332,37,295,1024,89,935,180,20,160,67,0,67,24,0,24,43,0,43,36,6,30
HI,2014,6918,3813,3105,3750,1164,2586,3168,2649,519,790,663,127,1301,199,1102,1109,145,964,192,54,138,593,247,346
IA,2014,3122,2926,196,1544,1368,176,1578,1558,20,487,482,5,244,154,90,211,121,90,33,33,0,202,177,25
ID,2014,2104,1468,636,1234,848,386,870,620,250,264,197,67,244,105,139,156,69,87,88,36,52,215,135,80
IL,2014,13107,11409,1698,7350,5793,1557,5757,5616,141,1880,1824,56,1488,1010,478,1349,891,458,139,119,20,1234,913,321
IN,2014,5971,5568,403,3953,3560,393,2018,2008,10,654,651,3,596,485,111,542,433,109,54,52,2,725,687,38
KS,2014,2783,2534,249,1533,1295,238,1250,1239,11,395,391,4,320,212,108,290,184,106,30,28,2,393,356,37
KY,2014,5089,4258,831,3352,2805,547,1737,1453,284,564,496,68,727,499,228,614,424,190,113,75,38,600,558,42
LA,2014,4606,3503,1103,3444,2364,1080,1162,1139,23,376,368,8,776,262,514,743,232,511,33,30,3,437,332,105
MA,2014,21237,20478,759,6788,6041,747,14449,14437,12,4781,4777,4,3311,3006,305,1590,1285,305,1721,1721,0,1264,1234,30
MD,2014,7856,6267,1589,4980,3872,1108,2876,2395,481,948,803,145,1740,1135,605,1515,997,518,225,138,87,654,555,99
ME,2014,2726,2633,93,1348,1282,66,1378,1351,27,388,376,12,244,218,26,218,200,18,26,18,8,152,138,14
MI,2014,12227,10075,2152,7535,5916,1619,4692,4159,533,1521,1330,191,1293,825,468,1160,745,415,133,80,53,1122,994,128
MN,2014,8377,7582,795,3652,3006,646,4725,4576,149,1422,1383,39,1235,889,346,885,562,323,350,327,23,317,263,54
MO,2014,7282,6309,973,4307,3651,656,2975,2658,317,902,813,89,997,714,283,735,469,266,262,245,17,652,563,89
MP,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,2014,2226,1405,821,1714,933,781,512,472,40,179,165,14,282,79,203,275,74,201,7,5,2,279,221,58
MT,2014,1745,911,834,1167,493,674,578,418,160,166,122,44,270,77,193,256,71,185,14,6,8,256,94,162
NC,2014,11491,8874,2617,7498,5738,1760,3993,3136,857,1303,1032,271,1431,720,711,1284,639,645,147,81,66,1164,982,182
ND,2014,1258,794,464,886,526,360,372,268,104,120,88,32,115,101,14,111,97,14,4,4,0,151,117,34
NE,2014,3026,2917,109,1893,1788,105,1133,1129,4,347,346,1,426,397,29,365,336,29,61,61,0,241,224,17
NH,2014,1376,1243,133,795,676,119,581,567,14,213,207,6,338,286,52,301,251,50,37,35,2,171,162,9
NJ,2014,11671,10736,935,6446,5536,910,5225,5200,25,1716,1708,8,1399,1007,392,1150,760,390,249,247,2,630,554,76
NM,2014,2746,2318,428,1804,1429,375,942,889,53,306,287,19,709,490,219,617,458,159,92,32,60,318,258,60
NV,2014,8582,4797,3785,7356,3571,3785,1226,1226,0,397,397,0,705,104,601,697,96,601,8,8,0,1036,546,490
NY,2014,80590,76487,4103,32643,28600,4043,47947,47887,60,14338,14319,19,7212,4783,2429,4350,1947,2403,2862,2836,26,2542,2085,457
OH,2014,11823,10720,1103,7704,6769,935,4119,3951,168,1314,1261,53,1481,1009,472,1340,894,446,141,115,26,1236,1102,134
OK,2014,4191,3259,932,2964,2291,673,1227,968,259,400,322,78,671,416,255,585,366,219,86,50,36,408,273,135
OR,2014,12164,6101,6063,7988,3665,4323,4176,2436,1740,1275,786,489,2695,577,2118,2207,505,1702,488,72,416,1292,702,590
PA,2014,15333,14301,1032,8359,7420,939,6974,6881,93,2384,2357,27,1607,1134,473,1449,983,466,158,151,7,1411,1336,75
PR,2014,4132,1406,2726,3432,1019,2413,700,387,313,208,130,78,2063,194,1869,1567,194,1373,496,0,496,87,45,42
RI,2014,1190,1170,20,779,761,18,411,409,2,132,131,1,204,198,6,204,198,6,0,0,0,108,108,0
SC,2014,5057,3249,1808,3813,2252,1561,1244,997,247,445,337,108,273,100,173,273,100,173,0,0,0,703,399,304
SD,2014,885,830,55,490,450,40,395,380,15,121,117,4,118,92,26,81,68,13,37,24,13,132,128,4
TN,2014,9415,6383,3032,6800,4693,2107,2615,1690,925,804,498,306,2195,1364,831,1904,1169,735,291,195,96,1142,920,222
TX,2014,28495,18228,10267,19177,9758,9419,9318,8470,848,2784,2549,235,5416,2231,3185,4952,1892,3060,464,339,125,2718,1576,1142
UT,2014,3081,2768,313,1729,1540,189,1352,1228,124,398,380,18,422,380,42,386,346,40,36,34,2,317,293,24
VA,2014,7020,6330,690,4234,3570,664,2786,2760,26,883,873,10,1021,730,291,965,674,291,56,56,0,620,535,85
VI,2014,448,85,363,425,62,363,23,23,0,9,9,0,88,1,87,88,1,87,0,0,0,32,1,31
VT,2014,1559,1396,163,823,704,119,736,692,44,239,221,18,283,228,55,199,159,40,84,69,15,120,111,9
WA,2014,18442,12540,5902,11390,6257,5133,7052,6283,769,2182,1931,251,2535,1129,1406,2311,1015,1296,224,114,110,1433,1089,344
WI,2014,6055,5712,343,2929,2676,253,3126,3036,90,1007,977,30,524,447,77,436,359,77,88,88,0,520,496,24
WV,2014,2013,1583,430,1488,1175,313,525,408,117,173,131,42,482,304,178,424,279,145,58,25,33,333,303,30
WY,2014,757,563,194,463,327,136,294,236,58,89,76,13,144,104,40,105,86,19,39,18,21,116,95,21
AK,2013,1946,1741,205,1362,1208,154,584,533,51,196,182,14,184,138,46,166,124,42,18,14,4,210,188,22
AL,2013,4689,3246,1443,3387,2212,1175,1302,1034,268,495,375,120,858,295,563,768,249,519,90,46,44,511,363,148
AR,2013,3812,1664,2148,3174,1177,1997,638,487,151,218,162,56,602,171,431,565,142,423,37,29,8,462,326,136
AZ,2013,10562,7431,3131,6510,3662,2848,4052,3769,283,1291,1210,81,1188,520,668,1064,450,614,124,70,54,1222,901,321
CA,2013,118552,45554,72998,93458,26426,67032,25094,19128,5966,8267,6258,2009,33112,5251,27861,29248,4177,25071,3864,1074,2790,12895,4886,8009
CO,2013,9754,7591,2163,4664,3075,1589,5090,4516,574,1444,1284,160,1780,846,934,1354,665,689,426,181,245,685,452,233
CT,2013,4448,3529,919,3101,2275,826,1347,1254,93,475,438,37,1046,678,368,872,542,330,174,136,38,341,267,74
DC,2013,6865,6353,512,3696,3184,512,3169,3169,0,983,983,0,2027,1566,461,1764,1303,461,263,263,0,499,435,64
DE,2013,946,936,10,575,565,10,371,371,0,119,119,0,71,68,3,65,62,3,6,6,0,89,86,3
FL,2013,47862,19670,28192,31359,12330,19029,16503,7340,9163,5806,2420,3386,9647,1873,7774,7778,1608,6170,1869,265,1604,5505,2328,3177
GA,2013,16971,8510,8461,12880,5250,7630,4091,3260,831,1257,990,267,3082,936,2146,2713,842,1871,369,94,275,1805,900,905
GU,2013,1271,128,1143,296,35,261,975,93,882,167,25,142,290,1,289,51,1,50,239,0,239,32,2,30
HI,2013,6335,3745,2590,3355,1142,2213,2980,2603,377,736,643,93,1180,273,907,1031,212,819,149,61,88,558,234,324
IA,2013,3084,2950,134,1524,1392,132,1560,1558,2,495,494,1,327,258,69,277,208,69,50,50,0,229,220,9
ID,2013,1781,1404,377,1084,775,309,697,629,68,211,192,19,271,165,106,193,105,88,78,60,18,208,162,46
IL,2013,13425,11229,2196,7958,6104,1854,5467,5125,342,1730,1629,101,1574,980,594,1403,890,513,171,90,81,1267,882,385
IN,2013,6096,5396,700,3751,3167,584,2345,2229,116,739,705,34,580,409,171,511,343,168,69,66,3,743,666,77
KS,2013,2693,2382,311,1480,1238,242,1213,1144,69,387,365,22,356,249,107,304,204,100,52,45,7,414,384,30
KY,2013,5245,4491,754,3302,2733,569,1943,1758,185,672,614,58,541,268,273,394,219,175,147,49,98,607,510,97
LA,2013,5226,3651,1575,3908,2401,1507,1318,1250,68,415,393,22,1115,245,870,1015,227,788,100,18,82,575,383,192
MA,2013,19029,18179,850,6694,5883,811,12335,12296,39,4327,4314,13,2115,1715,400,1577,1180,397,538,535,3,1253,1204,49
MD,2013,8205,6283,1922,5221,3717,1504,2984,2566,418,997,872,125,1480,862,618,1249,725,524,231,137,94,673,563,110
ME,2013,3016,2954,62,1563,1518,45,1453,1436,17,494,487,7,176,176,0,159,159,0,17,17,0,164,150,14
MI,2013,11527,9339,2188,7236,5519,1717,4291,3820,471,1412,1241,171,1106,666,440,969,578,391,137,88,49,1100,945,155
MN,2013,8214,7299,915,3728,3023,705,4486,4276,210,1338,1273,65,1350,1001,349,915,622,293,435,379,56,349,286,63
MO,2013,8581,6501,2080,4652,3365,1287,3929,3136,793,1259,1014,245,1037,601,436,695,394,301,342,207,135,843,667,176
MP,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,2013,2403,1083,1320,1753,648,1105,650,435,215,192,134,58,475,68,407,408,61,347,67,7,60,210,129,81
MT,2013,1878,1094,784,1211,574,637,667,520,147,207,165,42,227,65,162,210,55,155,17,10,7,309,118,191
NC,2013,12168,9013,3155,7530,5383,2147,4638,3630,1008,1520,1169,351,1842,802,1040,1451,675,776,391,127,264,1123,934,189
ND,2013,2069,674,1395,1230,443,787,839,231,608,244,83,161,179,68,111,110,68,42,69,0,69,241,60,181
NE,2013,3145,2972,173,1892,1733,159,1253,1239,14,397,393,4,414,342,72,339,273,66,75,69,6,183,161,22
NH,2013,1447,1245,202,798,626,172,649,619,30,229,219,10,255,135,120,226,118,108,29,17,12,125,112,13
NJ,2013,12002,10603,1399,6093,4916,1177,5909,5687,222,1994,1917,77,1237,847,390,1002,638,364,235,209,26,540,420,120
NM,2013,2819,2391,428,1786,1411,375,1033,980,53,323,304,19,525,306,219,399,240,159,126,66,60,243,183,60
NV,2013,7039,3698,3341,6200,2899,3301,839,799,40,316,304,12,724,377,347,718,375,343,6,2,4,790,477,313
NY,2013,77430,73273,4157,31235,27214,4021,46195,46059,136,13675,13647,28,6317,3885,2432,4045,1673,2372,2272,2212,60,4659,4201,458
OH,2013,12325,10987,1338,7611,6472,1139,4714,4515,199,1501,1448,53,1753,1207,546,1677,1135,542,76,72,4,1212,1050,162
OK,2013,4408,3262,1146,3179,2320,859,1229,942,287,426,313,113,719,330,389,617,260,357,102,70,32,437,338,99
OR,2013,13822,6432,7390,8994,3602,5392,4828,2830,1998,1524,905,619,3043,723,2320,2444,588,1856,599,135,464,1494,709,785
PA,2013,15086,13727,1359,7973,6767,1206,7113,6960,153,2409,2361,48,1681,1010,671,1536,889,647,145,121,24,1462,1290,172
PR,2013,4128,1402,2726,3470,1057,2413,658,345,313,185,107,78,2130,261,1869,1629,256,1373,501,5,496,82,40,42
RI,2013,1384,1267,117,862,753,109,522,514,8,177,175,2,251,198,53,243,190,53,8,8,0,97,95,2
SC,2013,6544,3411,3133,4736,2339,2397,1808,1072,736,640,365,275,483,143,340,453,125,328,30,18,12,636,345,291
SD,2013,1094,755,339,557,394,163,537,361,176,154,115,39,217,71,146,117,42,75,100,29,71,125,106,19
TN,2013,9528,6321,3207,6909,4632,2277,2619,1689,930,880,581,299,2219,1162,1057,1929,1079,850,290,83,207,991,728,263
TX,2013,29615,17525,12090,20758,9681,11077,8857,7844,1013,2826,2532,294,5535,2168,3367,4770,1677,3093,765,491,274,3878,2007,1871
UT,2013,3277,2859,418,1959,1593,366,1318,1266,52,406,391,15,454,349,105,347,268,79,107,81,26,327,290,37
VA,2013,7625,6603,1022,4532,3587,945,3093,3016,77,984,959,25,1356,875,481,1262,797,465,94,78,16,719,625,94
VI,2013,482,119,363,444,81,363,38,38,0,11,11,0,87,0,87,87,0,87,0,0,0,33,2,31
VT,2013,1454,1270,184,701,547,154,753,723,30,262,253,9,217,140,77,183,110,73,34,30,4,128,111,17
WA,2013,17760,12707,5053,10617,6032,4585,7143,6675,468,2217,2081,136,2196,1076,1120,1927,955,972,269,121,148,1318,1058,260
WI,2013,6104,5736,368,3005,2703,302,3099,3033,66,1016,994,22,521,383,138,449,313,136,72,70,2,552,528,24
WV,2013,2240,1612,628,1544,1038,506,696,574,122,228,192,36,432,250,182,390,211,179,42,39,3,329,292,37
WY,2013,953,501,452,677,306,371,276,195,81,84,55,29,244,116,128,221,116,105,23,0,23,137,110,27
AK,2012,1913,1716,197,1298,1157,141,615,559,56,216,194,22,279,263,16,273,257,16,6,6,0,256,227,29
AL,2012,5209,3664,1545,3825,2573,1252,1384,1091,293,497,383,114,969,353,616,910,331,579,59,22,37,526,377,149
AR,2012,4214,1602,2612,3428,1191,2237,786,411,375,266,134,132,437,171,266,361,142,219,76,29,47,362,205,157
AZ,2012,11302,8215,3087,6310,3786,2524,4992,4429,563,1465,1327,138,1895,615,1280,1605,389,1216,290,226,64,1478,1007,471
CA,2012,120098,45890,74208,94888,26494,68394,25210,19396,5814,8076,6190,1886,33356,5458,27898,30189,4912,25277,3167,546,2621,14611,4512,10099
CO,2012,16768,7260,9508,5101,2847,2254,11667,4413,7254,3104,1282,1822,1943,784,1159,1612,493,1119,331,291,40,1512,800,712
CT,2012,4209,3514,695,2906,2252,654,1303,1262,41,449,432,17,944,614,330,924,594,330,20,20,0,332,285,47
DC,2012,6954,6275,679,3767,3088,679,3187,3187,0,1014,1014,0,2315,1773,542,1870,1328,542,445,445,0,531,466,65
DE,2012,1008,986,22,611,589,22,397,397,0,128,128,0,100,89,11,84,73,11,16,16,0,66,64,2
FL,2012,55170,19832,35338,36771,12801,23970,18399,7031,11368,6333,2338,3995,10054,2406,7648,8682,2132,6550,1372,274,1098,5331,2201,3130
GA,2012,20516,8320,12196,15363,4816,10547,5153,3504,1649,1779,1255,524,3843,1426,2417,3016,1030,1986,827,396,431,2297,1094,1203
GU,2012,1301,187,1114,255,65,190,1046,122,924,165,29,136,226,0,226,22,0,22,204,0,204,31,6,25
HI,2012,6246,3726,2520,3130,1075,2055,3116,2651,465,792,681,111,949,146,803,910,128,782,39,18,21,507,230,277
IA,2012,2928,2780,148,1446,1302,144,1482,1478,4,466,465,1,307,218,89,270,181,89,37,37,0,217,205,12
ID,2012,1968,1482,486,1175,787,388,793,695,98,246,216,30,252,111,141,200,90,110,52,21,31,260,184,76
IL,2012,14144,11149,2995,8269,5808,2461,5875,5341,534,1905,1736,169,2206,1144,1062,2079,1086,993,127,58,69,1147,813,334
IN,2012,6259,5370,889,3316,2661,655,2943,2709,234,955,864,91,545,369,176,461,285,176,84,84,0,687,547,140
KS,2012,2684,2350,334,1526,1265,261,1158,1085,73,346,325,21,371,275,96,307,218,89,64,57,7,373,329,44
KY,2012,5230,4319,911,3282,2555,727,1948,1764,184,667,613,54,629,423,206,497,347,150,132,76,56,440,369,71
LA,2012,7772,3807,3965,6322,2438,3884,1450,1369,81,474,443,31,2893,352,2541,2743,280,2463,150,72,78,899,450,449
MA,2012,17501,16779,722,6289,5577,712,11212,11202,10,3887,3883,4,2055,1723,332,1500,1168,332,555,555,0,1181,1126,55
MD,2012,9454,5942,3512,5727,3445,2282,3727,2497,1230,1300,812,488,1407,559,848,1259,489,770,148,70,78,617,513,104
ME,2012,2393,2360,33,1287,1254,33,1106,1106,0,376,376,0,233,231,2,222,220,2,11,11,0,116,116,0
MI,2012,12592,10270,2322,7397,5487,1910,5195,4783,412,1703,1565,138,1370,843,527,1174,690,484,196,153,43,1017,835,182
MN,2012,7744,6754,990,3540,2793,747,4204,3961,243,1311,1240,71,1718,1346,372,1004,700,304,714,646,68,309,243,66
MO,2012,10237,7893,2344,4855,3531,1324,5382,4362,1020,1745,1461,284,1632,1028,604,906,609,297,726,419,307,899,714,185
MP,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,2012,2413,1042,1371,1794,626,1168,619,416,203,221,158,63,501,67,434,450,55,395,51,12,39,244,71,173
MT,2012,1833,1153,680,1166,653,513,667,500,167,192,169,23,388,213,175,304,161,143,84,52,32,323,147,176
NC,2012,13524,8809,4715,8480,5461,3019,5044,3348,1696,1633,1084,549,1621,702,919,1465,641,824,156,61,95,1413,1091,322
ND,2012,688,635,53,485,445,40,203,190,13,70,64,6,86,78,8,81,75,6,5,3,2,160,144,16
NE,2012,3789,2957,832,2215,1861,354,1574,1096,478,514,363,151,501,333,168,396,288,108,105,45,60,249,213,36
NH,2012,1496,1329,167,832,683,149,664,646,18,240,233,7,274,180,94,237,151,86,37,29,8,127,116,11
NJ,2012,13025,11429,1596,6603,5387,1216,6422,6042,380,2247,2123,124,1026,717,309,881,609,272,145,108,37,592,465,127
NM,2012,3245,2397,848,2136,1471,665,1109,926,183,348,289,59,1072,613,459,973,566,407,99,47,52,345,202,143
NV,2012,8497,3970,4527,7493,2999,4494,1004,971,33,341,328,13,1725,599,1126,1603,480,1123,122,119,3,1229,691,538
NY,2012,69566,65482,4084,30133,26097,4036,39433,39385,48,12170,12154,16,4897,2461,2436,4324,1902,2422,573,559,14,4961,4370,591
OH,2012,13977,12246,1731,7855,6432,1423,6122,5814,308,1943,1844,99,1982,1367,615,1788,1196,592,194,171,23,1244,1034,210
OK,2012,5032,3043,1989,3454,2073,1381,1578,970,608,519,335,184,569,287,282,481,237,244,88,50,38,404,299,105
OR,2012,15828,6545,9283,9788,3492,6296,6040,3053,2987,2110,1146,964,3302,754,2548,2782,654,2128,520,100,420,1356,558,798
PA,2012,14736,13660,1076,7295,6316,979,7441,7344,97,2476,2441,35,2106,1121,985,1564,971,593,542,150,392,1456,1321,135
PR,2012,3212,1346,1866,2494,944,1550,718,402,316,297,147,150,3251,251,3000,1597,199,1398,1654,52,1602,116,29,87
RI,2012,1277,1249,28,788,760,28,489,489,0,182,182,0,154,154,0,148,148,0,6,6,0,96,96,0
SC,2012,4915,2776,2139,3327,1789,1538,1588,987,601,551,371,180,528,114,414,388,113,275,140,1,139,543,320,223
SD,2012,859,795,64,512,465,47,347,330,17,119,115,4,138,125,13,113,100,13,25,25,0,124,114,10
TN,2012,9426,5778,3648,6905,4167,2738,2521,1611,910,833,533,300,2266,1126,1140,2114,1053,1061,152,73,79,1285,973,312
TX,2012,34052,17501,16551,20743,9030,11713,13309,8471,4838,4511,2890,1621,6650,2180,4470,6115,1860,4255,535,320,215,4364,1884,2480
UT,2012,3527,3052,475,2049,1641,408,1478,1411,67,445,426,19,443,299,144,331,240,91,112,59,53,330,297,33
VA,2012,8424,6995,1429,5084,3799,1285,3340,3196,144,1094,1046,48,1646,1042,604,1531,969,562,115,73,42,881,727,154
VI,2012,484,106,378,438,60,378,46,46,0,16,16,0,193,2,191,193,2,191,0,0,0,33,1,32
VT,2012,1160,937,223,653,483,170,507,454,53,172,153,19,228,153,75,190,128,62,38,25,13,109,93,16
WA,2012,20504,15027,5477,11273,6444,4829,9231,8583,648,2871,2676,195,2213,1227,986,2041,1138,903,172,89,83,1475,1097,378
WI,2012,6027,5446,581,3033,2619,414,2994,2827,167,961,902,59,487,361,126,377,270,107,110,91,19,539,525,14
WV,2012,2410,1533,877,1742,1033,709,668,500,168,243,165,78,410,215,195,346,172,174,64,43,21,268,219,49
WY,2012,1813,475,1338,1302,292,1010,511,183,328,171,57,114,452,99,353,375,97,278,77,2,75,311,128,183
AK,2011,1913,1760,368,1286,1042,244,842,718,124,277,240,37,253,194,59,226,169,57,27,25,2,288,236,52
AL,2011,5209,3749,1809,4325,2782,1543,1233,967,266,434,328,106,1114,418,696,1046,396,650,68,22,46,659,387,272
AR,2011,4214,1802,1622,2505,1320,1185,919,482,437,349,187,162,607,328,279,500,267,233,107,61,46,411,268,143
AZ,2011,11302,7302,3202,6403,3684,2719,4101,3618,483,1239,1119,120,2283,1028,1255,1939,738,1201,344,290,54,1528,1018,510
CA,2011,120098,50691,74437,97964,29028,68936,27164,21663,5501,9021,7293,1728,34589,7039,27550,30807,5826,24981,3782,1213,2569,16783,6689,10094
CO,2011,16768,6146,8970,4546,2651,1895,10570,3495,7075,2935,1154,1781,1495,549,946,1288,376,912,207,173,34,2074,1381,693
CT,2011,4209,3761,695,3071,2417,654,1385,1344,41,482,465,17,1099,769,330,1043,713,330,56,56,0,443,396,47
DC,2011,6954,6241,305,3858,3553,305,2688,2688,0,858,858,0,2509,2234,275,2093,1818,275,416,416,0,515,490,25
DE,2011,1008,1013,22,663,641,22,372,372,0,116,116,0,70,59,11,70,59,11,0,0,0,55,53,2
FL,2011,55170,20824,35863,37584,13934,23650,19103,6890,12213,6483,2325,4158,11638,3577,8061,10263,3195,7068,1375,382,993,5644,2276,3368
GA,2011,20516,8723,12252,15975,5388,10587,5000,3335,1665,1661,1132,529,4581,2112,2469,3879,1841,2038,702,271,431,2243,1025,1218
GU,2011,1301,204,1541,279,36,243,1466,168,1298,250,39,211,370,0,370,25,0,25,345,0,345,33,7,26
HI,2011,6246,3632,2556,3195,1077,2118,2993,2555,438,775,650,125,935,116,819,904,111,793,31,5,26,505,210,295
IA,2011,2928,3013,121,1628,1518,110,1506,1495,11,472,467,5,351,284,67,315,248,67,36,36,0,267,255,12
ID,2011,1968,1585,614,1310,841,469,889,744,145,297,256,41,308,149,159,236,129,107,72,20,52,250,169,81
IL,2011,14144,11089,2920,8173,5692,2481,5836,5397,439,1957,1804,153,2563,1483,1080,2400,1393,1007,163,90,73,1081,765,316
IN,2011,6259,5550,646,3789,3256,533,2407,2294,113,758,719,39,602,425,177,602,425,177,0,0,0,714,638,76
KS,2011,2684,2222,289,1425,1200,225,1086,1022,64,328,309,19,338,252,86,280,205,75,58,47,11,384,342,42
KY,2011,5230,5183,851,3842,3170,672,2192,2013,179,731,678,53,784,577,207,659,508,151,125,69,56,636,579,57
LA,2011,7772,3405,5886,7941,2197,5744,1350,1208,142,469,424,45,4433,165,4268,4352,158,4194,81,7,74,950,443,507
MA,2011,17501,15961,703,6344,5672,672,10320,10289,31,3531,3521,10,2061,1711,350,1666,1319,347,395,392,3,1268,1210,58
MD,2011,9454,6496,3712,6353,3957,2396,3855,2539,1316,1338,829,509,1800,898,902,1627,803,824,173,95,78,696,577,119
ME,2011,2393,2418,29,1184,1157,27,1263,1261,2,427,426,1,212,202,10,212,202,10,0,0,0,127,121,6
MI,2011,12592,10864,2321,7634,5721,1913,5551,5143,408,1825,1689,136,1764,1258,506,1611,1142,469,153,116,37,959,755,204
MN,2011,7744,6567,928,3410,2718,692,4085,3849,236,1265,1189,76,1862,1518,344,1211,955,256,651,563,88,449,371,78
MO,2011,10237,6718,2271,4657,3263,1394,4332,3455,877,1330,1059,271,1418,929,489,1156,792,364,262,137,125,852,627,225
MP,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,2011,2413,1056,1250,1825,734,1091,481,322,159,141,93,48,471,135,336,438,126,312,33,9,24,205,114,91
MT,2011,1833,1216,552,1094,636,458,674,580,94,222,192,30,324,149,175,203,76,127,121,73,48,251,135,116
