State,Year,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
TX,2018,25310,14776,10534,19199,8917,10282,6111,5859,252,1917,5859,72,3404,1514,1890,3269,1379,1890,135,135,0,1935,1142,793
UT,2018,2876,2456,420,1904,1486,418,972,970,2,287,970,1,306,219,87,298,211,87,8,8,0,239,222,17
VA,2018,5975,5060,915,3928,3066,862,2047,1994,53,660,1994,17,897,622,275,812,537,275,85,85,0,485,400,85
VI,2018,486,179,307,415,108,307,71,71,0,26,71,0,307,0,307,307,0,307,0,0,0,24,7,17
VT,2018,1291,1209,82,780,711,69,511,498,13,169,498,4,160,138,22,138,120,18,22,18,4,104,96,8
WA,2018,22304,11683,10621,16424,6519,9905,5880,5164,716,1800,5164,217,6158,1837,4321,5775,1619,4156,383,218,165,1636,770,866
WI,2018,4907,4525,382,2740,2383,357,2167,2142,25,660,2142,9,527,449,78,446,368,78,81,81,0,332,321,11
WV,2018,1243,1060,183,1021,842,179,222,218,4,73,218,1,154,84,70,150,84,66,4,0,4,131,106,25
WY,2018,639,440,199,434,299,135,205,141,64,77,141,21,46,42,4,42,42,0,4,0,4,47,47,0
AK,2017,1845,1551,294,1354,1060,294,491,491,0,165,165,0,257,158,99,216,117,99,41,41,0,124,95,29
AL,2017,3793,2656,1137,2985,1950,1035,808,706,102,262,229,33,363,171,192,344,152,192,19,19,0,269,202,67
AR,2017,2467,1273,1194,2068,937,1131,399,336,63,121,100,21,473,147,326,450,138,312,23,9,14,239,130,109
AZ,2017,8947,5781,3166,6488,3423,3065,2459,2358,101,689,664,25,1552,546,1006,1463,492,971,89,54,35,970,641,329
CA,2017,131532,42636,88896,110260,25022,85238,21272,17614,3658,7083,5836,1247,37033,5235,31798,35541,4430,31111,1492,805,687,11436,3815,7621
CO,2017,10940,7081,3859,7571,4719,2852,3369,2362,1007,993,702,291,2264,977,1287,2126,914,1212,138,63,75,1078,743,335
CT,2017,3388,2972,416,2208,1796,412,1180,1176,4,392,391,1,420,273,147,387,240,147,33,33,0,191,177,14
DC,2017,7473,6576,897,3583,2686,897,3890,3890,0,1166,1166,0,1881,1343,538,1470,932,538,411,411,0,285,250,35
DE,2017,994,936,58,615,563,52,379,373,6,129,127,2,127,102,25,123,98,25,4,4,0,91,85,6
FL,2017,32190,17111,15079,22768,10931,11837,9422,6180,3242,2846,1924,922,5615,1241,4374,4951,1127,3824,664,114,550,2817,1821,996
GA,2017,10174,6651,3523,7422,4102,3320,2752,2549,203,1019,939,80,1028,462,566,963,405,558,65,57,8,712,466,246
GU,2017,852,87,765,215,17,198,637,70,567,117,17,100,64,0,64,20,0,20,44,0,44,24,4,20
HI,2017,7220,3420,3800,4535,1258,3277,2685,2162,523,666,539,127,1800,207,1593,1588,164,1424,212,43,169,615,237,378
IA,2017,2756,2652,104,1500,1396,104,1256,1256,0,382,382,0,199,143,56,170,114,56,29,29,0,171,153,18
ID,2017,2037,1398,639,1309,857,452,728,541,187,211,167,44,436,302,134,391,257,134,45,45,0,228,159,69
IL,2017,10798,8541,2257,6894,4759,2135,3904,3782,122,1228,1181,47,1475,717,758,1355,644,711,120,73,47,864,575,289
IN,2017,5438,4869,569,3623,3082,541,1815,1787,28,576,567,9,537,483,54,486,432,54,51,51,0,615,569,46
KS,2017,2287,1942,345,1423,1083,340,864,859,5,263,262,1,341,251,90,252,166,86,89,85,4,217,177,40
KY,2017,4025,3298,727,3032,2386,646,993,912,81,334,309,25,405,267,138,383,252,131,22,15,7,489,445,44
